Modern Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-716,4,23,23.87432,-715,2,22,11.59308,-715,3,31,10.05938,-715,5,8,12.64547,1459652.41166,1459956.89994,1459993.83604,1460031.94379,24.61481,13.56053,25.65871,24.61481,189.06272,173.13382,326.75144,324.73258,181.13851,192.49093,2.77559,1.13851,172.45674,212.46207,39.29818,38.69928
-714,6,4,3.67541,-713,4,27,17.80385,-713,5,28,22.99839,-713,7,1,5.1242,1460423.57004,1460751.15873,1460782.37516,1460815.63041,64.70428,57.70178,64.41469,64.70428,243.78397,229.3813,28.55096,27.59089,238.35926,245.74091,58.28867,58.35926,232.07887,263.16899,89.99318,91.13717
-712,7,8,15.31588,-711,7,14,20.40307,-711,8,14,21.86611,-711,9,15,16.62553,1461189.05506,1461560.26703,1461591.32799,1461623.10963,99.20184,98.86978,97.84077,99.20184,321.47579,293.41097,103.57723,105.08558,315.7007,309.6891,133.70498,135.7007,309.87802,326.34492,165.09888,167.02616
-710,8,12,19.51186,-709,9,8,3.68467,-709,10,15,4.43816,-709,11,19,20.50662,1461954.22989,1462345.57043,1462382.60182,1462418.27134,133.39366,139.87523,131.42109,133.39366,24.44978,344.9652,157.11799,159.11704,15.6169,4.37226,194.25181,195.61691,7.67068,23.0656,230.55569,230.77444
-708,9,20,20.81628,-707,10,17,11.2812,-707,11,26,8.50166,-706,1,3,13.47202,1462724.28424,1463115.88695,1463155.77113,1463193.97823,172.39495,183.43789,170.54132,172.39495,67.64796,28.66526,197.08963,198.37675,57.68845,49.56738,237.71477,237.68846,48.71373,69.59058,276.63249,275.34714
-706,11,14,0.29013,-705,11,21,11.8102,-704,1,1,10.33463,-704,2,10,0.82237,1463508.42899,1463880.90899,1463921.84751,1463961.45116,225.2844,234.3849,224.86578,225.2844,102.86302,69.59063,232.25676,232.41797,92.76888,91.04529,273.97941,272.76888,83.37157,111.8004,313.77505,311.80408
-703,1,29,9.16276,-703,12,25,17.51261,-702,2,4,7.06162,-702,3,16,6.7707,1464315.79868,1464646.14659,1464686.71113,1464726.69901,301.06543,297.50343,302.90876,301.06543,136.32702,110.62897,267.69855,266.67166,126.65396,131.88765,308.56944,306.65396,117.16612,152.84411,347.96721,346.06787
-701,4,5,15.67049,-700,2,4,11.14437,-700,3,13,21.65405,-700,4,21,22.86599,1465112.06984,1465416.88125,1465455.31915,1465494.36965,5.90723,354.80553,7.4558,5.90723,172.83593,154.54816,308.25539,306.3435,164.22969,174.69233,346.14471,344.22969,155.12473,195.15753,23.82616,22.71967
-699,5,20,5.47854,-698,3,30,10.13505,-698,5,3,5.10926,-698,6,7,17.96435,1465887.64517,1466201.83919,1466235.62978,1466271.16541,50.35027,41.26158,50.56561,50.35027,219.83064,205.92135,1.70416,0.03448,213.34005,223.63,34.12566,33.34006,205.90284,242.25317,67.95954,68.36562
-697,6,26,3.41531,-696,6,15,18.07237,-696,7,15,1.14862,-696,8,14,21.54495,1466654.5592,1467010.16991,1467039.46476,1467070.3146,86.25633,83.17849,85.26746,86.25633,290.4496,269.54352,76.07695,76.76275,285.63711,284.89608,104.1223,105.63711,280.37653,301.06357,134.04698,136.04415
-695,7,29,21.28867,-694,8,20,5.11468,-694,9,24,7.8026,-694,10,28,12.60856,1467419.30393,1467805.63001,1467840.74201,1467874.94225,120.02422,123.95853,118.2225,120.02422,3.28038,326.42058,138.78331,140.80513,355.41315,344.82174,173.5977,175.41315,348.18221,2.74507,208.14181,209.1225
-693,9,5,6.42503,-692,10,2,19.85087,-692,11,10,20.39456,-692,12,18,5.12886,1468186.68461,1468580.24402,1468619.26667,1468656.6306,156.39023,166.12,154.3722,156.39023,52.44913,12.37282,182.6554,184.30065,42.76319,32.82344,222.24451,222.76319,34.08835,52.40477,260.38273,259.59081
-691,10,21,6.82246,-690,11,8,3.56626,-690,12,18,20.20544,-689,1,27,0.14299,1468963.70117,1469346.56549,1469387.25879,1469426.42286,202.25381,213.33135,201.0694,202.25381,89.84986,53.97919,218.99996,219.62266,79.73186,75.30535,260.52981,259.73186,70.45699,95.83007,300.13701,298.33378
-689,12,29,11.45078,-688,12,11,17.92146,-687,1,21,15.13465,-687,3,2,13.94638,1469762.89401,1470111.16363,1470152.04751,1470191.998,269.97537,272.16463,271.09978,269.97537,123.44429,94.68241,253.82752,253.24606,113.54311,116.10845,295.25553,293.54311,104.05445,137.04531,334.93467,332.92017
-686,3,14,0.47021,-685,1,18,13.27933,-685,2,27,1.81936,-685,4,7,16.43945,1470568.43649,1470878.9702,1470918.4927,1470958.10188,343.95542,334.32557,345.8874,343.95542,158.11208,137.06708,291.67682,290.03185,148.98707,157.77966,331.01555,328.98707,139.6446,178.53765,9.54051,8.0277
-684,5,4,0.66737,-683,3,6,11.84986,-683,4,11,10.13125,-683,5,18,18.43265,1471350.44471,1471656.91064,1471692.83903,1471730.18493,34.739,24.1529,35.49208,34.739,199.6919,184.76261,338.7945,336.80605,192.21874,203.59162,13.62562,12.21874,183.88598,223.16349,49.30555,49.02859
-682,6,12,8.17179,-681,5,15,12.31859,-681,6,14,12.04477,-681,7,16,14.52505,1472119.75739,1472456.93017,1472486.91876,1472519.02211,73.00929,67.32688,72.46081,73.00929,259.86296,244.02914,45.74015,45.34243,254.90058,259.74527,74.28327,74.90058,249.20036,276.56968,105.01025,106.54313
-680,7,16,7.93492,-679,7,29,3.27573,-679,8,30,18.43211,-679,10,2,7.56335,1472884.74752,1473262.55339,1473295.1849,1473327.73204,107.01907,108.23553,105.48032,107.01907,338.12402,306.23239,117.61461,119.40206,331.5652,323.3336,149.52818,151.5652,325.23168,340.39059,181.97949,183.64517
-678,8,21,1.25549,-677,9,17,23.87928,-677,10,25,19.98745,-677,12,1,3.95451,1473650.46921,1474043.41187,1474081.24971,1474117.58167,141.7499,149.52758,139.72346,141.7499,35.5617,355.45718,167.14143,169.05242,26.34715,15.28687,205.27394,206.34715,18.0939,34.32737,242.32812,242.15762
