Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1447336.5,1447336.572,1447336.695,-750,8,5,4.68944,118.60136,1.212,123.65423,243.4533,0,242.47201,-5.10257
EF,1447384.5,1447385.147,1447385.27,-750,9,22,18.4875,179.35656,0.96597,171.59343,91.36861,0,97.38369,-5.01045
EL,1447644.5,1447645.186,1447645.309,-749,6,9,19.42722,77.14903,-2.01279,69.25306,115.58932,0,121.34864,-5.77188
MF,1447657.5,1447657.557,1447657.68,-749,6,22,4.32861,69.79085,-4.56724,81.04797,248.62955,0,237.56127,-5.01196
ML,1447907.5,1447907.643,1447907.766,-748,2,27,6.39083,320.04678,-1.39054,330.45152,289.66396,0,280.43735,-5.02586
EF,1447966.5,1447967.162,1447967.285,-748,4,26,18.84444,33.34689,-0.27714,28.04676,105.07485,0,106.63527,-5.07339
EL,1448235.5,1448236.116,1448236.24,-747,1,20,17.75139,296.85091,7.63276,293.88858,73.65483,0,67.83894,-5.76822
MF,1448237.5,1448237.66,1448237.783,-747,1,22,6.80333,295.87895,7.81663,295.43879,286.34126,0,292.20921,-5.1917
ML,1448504.5,1448504.614,1448504.738,-747,10,16,5.70167,190.48955,1.07455,195.51455,273.86089,0,274.04531,-5.13502
EF,1448557.5,1448558.099,1448558.223,-747,12,8,17.34611,257.81584,-0.85676,250.02763,60.77768,0,66.66998,-5.17311
EL,1448803.5,1448804.183,1448804.307,-746,8,11,19.35722,149.75378,-7.5793,130.12738,95.54233,0,115.80151,-5.59055
MF,1448822.5,1448822.585,1448822.709,-746,8,30,5.01389,140.05925,-8.62334,148.19888,261.82497,0,251.35919,-5.56115
ML,1449074.5,1449074.576,1449074.7,-745,5,9,4.79528,29.17203,-0.86599,39.20741,257.36619,0,248.63379,-5.03917
EF,1449131.5,1449132.191,1449132.315,-745,7,5,19.55306,100.00307,1.16712,94.12498,119.84109,0,122.88152,-5.16626
EL,1449400.5,1449401.154,1449401.277,-744,3,30,18.65556,7.43893,6.61003,2.15859,100.84523,0,95.24143,-6.33848
MF,1449404.5,1449404.609,1449404.732,-744,4,3,5.56722,5.27503,6.12787,5.4924,260.73268,0,263.84215,-5.28739
ML,1449671.5,1449671.657,1449671.78,-744,12,26,6.72861,261.61973,-0.50577,268.18931,299.15622,0,295.11773,-5.21053
EF,1449721.5,1449722.129,1449722.252,-743,2,14,18.05056,324.61198,-1.4054,318.88239,72.16276,0,74.98466,-5.18221
EL,1449977.5,1449978.116,1449978.239,-743,10,28,17.74472,223.04656,-4.3491,208.23229,65.69546,0,80.241,-5.19256
MF,1449991.5,1449991.627,1449991.751,-743,11,11,6.01806,215.44738,-1.2456,222.00121,287.67866,0,284.79868,-6.01945
ML,1450256.5,1450256.571,1450256.695,-742,8,3,4.67167,116.79919,1.18856,121.77368,243.03441,0,241.99551,-5.00781
