Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1443311.5,1443311.55,1443311.673,-761,7,29,4.15278,106.23334,0.64871,116.50986,241.1595,-0.5667,236.52277,-9.77243
AR,1443484.5,1443485.117,1443485.241,-760,1,18,17.77833,119.376,1.26854,291.03406,243.17191,-0.5667,67.76756,-6.51495
CS,1443501.5,1443502.653,1443502.776,-760,2,5,6.62917,117.09814,1.29688,308.59894,117.44712,-0.5667,287.98908,-6.12554
EL,1443680.5,1443681.196,1443681.32,-760,8,1,19.67111,131.04646,1.07325,120.78475,113.01802,-0.5667,120.49293,-7.70336
MF,1443706.5,1443706.57,1443706.693,-760,8,27,4.63611,136.55604,1.09391,145.61521,248.94261,-0.5667,247.24007,-9.53246
AR,1443880.5,1443881.136,1443881.259,-759,2,17,18.21972,149.70908,1.72975,321.73745,253.56433,-0.5667,77.12209,-6.77609
CS,1443900.5,1443901.628,1443901.752,-759,3,10,6.04194,147.10761,1.73601,341.86718,107.56079,-0.5667,274.42335,-6.42382
EL,1444075.5,1444076.176,1444076.299,-759,8,31,19.18278,161.08733,1.23681,149.91733,100.75291,-0.5667,109.45987,-7.70548
MF,1444102.5,1444102.587,1444102.71,-759,9,27,5.04806,166.85826,1.23573,176.23537,261.96064,-0.5667,261.47197,-10.01166
AR,1444277.5,1444278.149,1444278.272,-758,3,21,18.53944,179.96086,1.7216,352.84901,267.72238,-0.5667,90.60447,-6.16012
CS,1444297.5,1444298.598,1444298.721,-758,4,11,5.31333,177.39419,1.70073,12.59107,93.49434,-0.5667,259.77097,-6.22459
EL,1444471.5,1444472.147,1444472.27,-758,10,1,18.48583,191.63785,1.05882,180.57252,85.95072,-0.5667,94.67754,-7.48486
MF,1444497.5,1444497.605,1444497.729,-758,10,27,5.49389,197.30692,1.0355,206.33363,276.73518,-0.5667,276.0625,-9.62743
AR,1444674.5,1444675.165,1444675.288,-757,4,22,18.91861,211.12831,1.22629,23.44411,282.68206,-0.5667,105.65019,-6.6283
CS,1444693.5,1444694.57,1444694.694,-757,5,12,4.64972,208.69011,1.18719,41.96056,78.31739,-0.5667,246.75411,-6.08472
EL,1444868.5,1444869.12,1444869.244,-757,11,2,17.85333,223.27746,0.5666,212.71548,71.72569,-0.5667,79.79144,-7.43785
MF,1444894.5,1444894.625,1444894.748,-757,11,28,5.955,229.11155,0.52628,238.74879,290.38617,-0.5667,287.7354,-9.85097
AR,1445073.5,1445074.182,1445074.306,-756,5,25,19.33444,243.6959,0.32955,55.63365,294.82984,-0.5667,118.51505,-6.61541
CS,1445090.5,1445091.552,1445091.676,-756,6,12,4.22167,241.48769,0.28402,72.16822,65.65483,-0.5667,237.55805,-6.42249
EL,1445267.5,1445268.108,1445268.231,-756,12,5,17.54889,256.65492,-0.12561,247.15866,62.25195,-0.5667,68.76765,-7.49508
MF,1445294.5,1445294.642,1445294.765,-755,1,1,6.36972,262.8905,-0.17394,274.16782,298.41343,-0.5667,291.98455,-9.85707
AR,1445474.5,1445475.195,1445475.318,-755,6,30,19.63833,278.02178,-0.73359,89.73919,299.04426,-0.5667,123.86203,-6.21625
CS,1445489.5,1445490.555,1445490.678,-755,7,16,4.27944,276.03211,-0.77195,104.48281,60.77335,-0.5667,236.64785,-6.85363
EL,1445668.5,1445669.117,1445669.241,-754,1,10,17.77944,291.84456,-0.7998,283.50411,62.81826,-0.5667,67.3314,-7.63494
MF,1445698.5,1445698.639,1445698.763,-754,2,9,6.3075,298.90144,-0.84347,313.09355,295.60652,-0.5667,284.39696,-9.37905
AR,1445875.5,1445876.19,1445876.314,-754,8,5,19.53306,314.04325,-1.56946,124.22085,291.73836,-0.5667,118.59273,-6.65351
