Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1451725.302,-738,8,10,19.25889,146.96356,-7.69164,129.24477,96.40404,0,114.97338,-5.23078
MF,1451742.707,-738,8,28,4.96833,137.49542,-8.62386,146.32153,261.10975,0,250.61178,-6.47647
ML,1451996.702,-737,5,9,4.85806,29.8845,-0.83291,39.29836,257.32804,0,249.3183,-5.03165
EF,1452051.31,-737,7,2,19.43778,97.00987,1.11856,91.33724,119.26283,0,121.87456,-5.15975
EL,1452321.273,-736,3,28,18.56333,5.03398,6.76998,0.30709,99.62677,0,93.54224,-5.58281
MF,1452324.733,-736,4,1,5.60028,2.85968,6.29621,3.64956,261.90967,0,264.84164,-5.62982
ML,1452592.777,-736,12,25,6.65472,261.07503,-0.50345,267.25788,298.37459,0,294.78311,-5.06113
EF,1452641.252,-735,2,11,18.05306,321.59769,-1.41822,315.99185,71.37822,0,74.06194,-5.1232
EL,1452897.244,-735,10,25,17.86278,220.75892,-4.75557,205.28248,66.70081,0,81.85419,-5.72056
MF,1452910.75,-735,11,8,5.98833,213.22546,-1.76896,219.03252,286.93582,0,283.99809,-5.31365
ML,1453175.696,-734,7,31,4.70667,113.79287,1.14256,118.94875,243.07951,0,242.01653,-5.17283
EF,1453222.275,-734,9,15,18.61111,171.9879,1.10448,164.75791,94.95334,0,100.25283,-5.0472
EL,1453485.303,-733,6,5,19.26194,72.46308,-1.53294,65.60014,114.89069,0,119.30965,-5.47457
MF,1453496.684,-733,6,17,4.42056,65.63545,-3.95777,76.43831,249.22416,0,238.96145,-5.21032
ML,1453748.767,-732,2,24,6.39694,317.72086,-1.37503,327.65681,290.0508,0,281.44673,-5.17362
EF,1453806.281,-732,4,21,18.74306,28.59901,-0.39804,23.42294,102.60965,0,103.96563,-5.01156
EL,1454075.24,-731,1,15,17.76111,292.22784,7.25321,289.01235,72.66423,0,67.26982,-5.82183
MF,1454077.779,-731,1,18,6.70417,290.63274,7.59048,291.56844,287.2264,0,292.37095,-5.66619
ML,1454343.735,-731,10,11,5.62917,185.59102,1.15217,190.60235,271.39946,0,271.88094,-5.11921
EF,1454396.226,-731,12,2,17.42111,251.67495,-0.71808,244.05158,62.54399,0,68.21494,-5.15321
EL,1454645.303,-730,8,8,19.26972,144.50182,-7.62678,127.35453,97.43592,0,115.47898,-5.07482
