Venus,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EL,1446482.275,-752,4,2,18.60306,9.13792,6.30843,5.01757,101.42146,-0.5667,95.74071,-5.52101
MF,1446485.727,-752,4,6,5.45194,6.96025,5.77344,8.34319,260.18291,-0.5667,262.3178,-6.10745
ML,1446750.774,-752,12,27,6.57,262.23425,-0.5107,269.17287,298.08988,-0.5667,294.07704,-6.2563
EF,1446803.258,-751,2,17,18.2,327.7079,-1.38727,321.82556,74.22762,-0.5667,76.76911,-6.05186
EL,1447060.239,-751,11,1,17.74222,224.83193,-3.71311,212.28258,66.72496,-0.5667,78.82365,-5.58578
MF,1447071.75,-751,11,13,6.00417,218.21052,-0.95956,224.02319,287.67611,-0.5667,285.41394,-6.00803
ML,1447334.694,-750,8,3,4.65667,116.16241,1.17107,121.74692,243.18419,-0.5667,242.04368,-6.15764
EF,1447387.271,-750,9,24,18.50417,181.91701,0.90587,173.63843,90.40885,-0.5667,96.69963,-6.03823
EL,1447645.308,-749,6,9,19.3925,77.12683,-2.02194,69.29007,115.32624,-0.5667,120.85765,-6.48483
MF,1447657.681,-749,6,22,4.34194,69.76949,-4.57371,81.08701,248.78728,-0.5667,237.84575,-5.99801
ML,1447906.762,-748,2,26,6.28639,318.85526,-1.3809,329.5036,289.27159,-0.5667,280.09279,-6.16853
EF,1447969.288,-748,4,28,18.91139,35.85455,-0.19745,29.99734,106.17541,-0.5667,107.66414,-6.23583
EL,1448236.243,-747,1,20,17.84083,296.82332,7.63849,293.93283,74.39818,-0.5667,68.31368,-6.02393
MF,1448238.775,-747,1,23,6.59722,295.22864,7.91972,296.47416,285.615,-0.5667,290.66122,-6.80607
ML,1448502.733,-747,10,14,5.58361,188.01422,1.12557,193.52581,272.21968,-0.5667,272.59836,-6.17899
EF,1448558.229,-747,12,8,17.48889,257.87392,-0.85828,250.07483,61.89341,-0.5667,67.54595,-6.01982
EL,1448805.304,-746,8,12,19.29083,149.41666,-7.74907,131.1411,95.7099,-0.5667,114.81483,-5.89868
MF,1448822.708,-746,8,30,4.98861,140.0371,-8.62021,148.23764,261.6556,-0.5667,251.37022,-6.54701
ML,1449073.7,-745,5,8,4.79583,27.99777,-0.89745,38.29259,257.84183,-0.5667,249.04145,-6.01166
EF,1449133.314,-745,7,6,19.53083,101.28804,1.19082,95.12197,119.38265,-0.5667,122.4512,-6.04899
EL,1449401.278,-744,3,30,18.66444,7.41405,6.60522,2.1979,100.92575,-0.5667,95.08908,-6.63434
MF,1449404.731,-744,4,3,5.54583,5.25005,6.12154,5.53042,260.61811,-0.5667,263.86235,-5.76919
ML,1449670.773,-744,12,25,6.55639,260.4074,-0.4699,267.20663,297.88992,-0.5667,294.06704,-6.21452
EF,1449723.258,-743,2,15,18.18444,325.91033,-1.39792,319.91842,73.47934,-0.5667,76.09959,-6.13566
EL,1449979.241,-743,10,29,17.78611,222.57384,-4.16258,209.29217,67.0524,-0.5667,80.0528,-5.56686
MF,1449991.746,-743,11,11,5.91528,215.42679,-1.23621,222.038,286.88138,-0.5667,284.25,-6.75866
ML,1450254.693,-742,8,1,4.64111,114.36156,1.14561,119.86861,242.81319,-0.5667,241.60385,-6.06029
EF,1450306.273,-742,9,21,18.56361,178.83888,0.96836,170.69836,91.92748,-0.5667,98.07203,-6.00699
EL,1450565.306,-741,6,7,19.35361,74.81284,-1.77874,67.45596,115.31899,-0.5667,120.30948,-6.26533
MF,1450577.68,-741,6,20,4.31444,67.45851,-4.35122,79.24544,248.95567,-0.5667,237.77436,-6.32291
ML,1450826.763,-740,2,24,6.31833,317.05112,-1.36677,327.59437,289.92172,-0.5667,280.87143,-6.17464
EF,1450888.286,-740,4,25,18.86528,32.84666,-0.27919,27.19576,104.86545,-0.5667,106.30918,-6.03794
EL,1451156.24,-739,1,18,17.77028,294.21229,7.52191,291.97325,73.72213,-0.5667,67.60022,-5.48744
MF,1451742.705,-738,8,28,4.92389,137.49645,-8.624,146.31971,260.76199,-0.5667,250.24233,-7.01443
ML,1451992.702,-737,5,5,4.85,24.98902,-0.96233,35.48419,259.21025,-0.5667,250.17412,-6.02057
EF,1452053.314,-737,7,4,19.5325,99.48583,1.16707,93.25742,119.52551,-0.5667,122.58046,-6.12154
EL,1452321.275,-736,3,28,18.60806,5.03283,6.76976,0.30889,99.97504,-0.5667,93.89368,-6.15374
MF,1452324.731,-736,4,1,5.55583,2.86086,6.2965,3.64777,261.56131,-0.5667,264.49078,-6.19855
ML,1452590.773,-736,12,23,6.54056,258.56047,-0.42865,265.21917,297.65922,-0.5667,294.02602,-6.16823
