Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
MF,1439170.714,-772,3,27,5.13143,334.10681,-2.0774,358.52941,283.80612,-0.5667,262.57928,-13.1485
AR,1439325.3,-772,8,28,19.20642,338.23375,-2.6708,147.13982,282.62597,-0.5667,110.12895,-8.04556
CS,1439343.711,-772,9,16,5.06318,336.76627,-2.68375,165.41626,76.70441,-0.5667,257.89849,-8.40848
EL,1439509.277,-771,2,28,18.6447,342.56107,-2.24225,332.53613,79.79785,-0.5667,83.53621,-10.14037
MF,1439551.698,-771,4,12,4.75077,347.95124,-2.27671,13.69713,277.75273,-0.5667,255.04922,-13.29566
AR,1439704.289,-771,9,11,18.94356,351.99051,-2.85723,160.76957,276.48753,-0.5667,104.11443,-8.16072
CS,1439722.718,-771,9,30,5.232,350.50236,-2.86288,179.21165,82.80854,-0.5667,264.45698,-8.44916
EL,1439888.284,-770,3,14,18.81509,356.39211,-2.32491,345.99526,86.15421,-0.5667,89.82824,-10.57189
MF,1439931.684,-770,4,27,4.41474,1.95816,-2.34558,27.81945,271.24306,-0.5667,248.36659,-13.23367
AR,1440083.278,-770,9,25,18.67151,6.07058,-2.87847,174.50471,269.88071,-0.5667,97.76226,-8.39102
CS,1440101.726,-770,10,14,5.416,4.56517,-2.87647,193.09774,89.41527,-0.5667,271.14236,-8.26813
EL,1440268.289,-769,3,29,18.94256,10.58918,-2.26943,0.32173,92.87973,-0.5667,96.55679,-10.42331
MF,1440310.673,-769,5,11,4.14271,16.06783,-2.2726,40.93573,264.60515,-0.5667,242.77421,-13.03096
AR,1440463.264,-769,10,10,18.33998,20.31467,-2.72363,189.34867,263.18109,-0.5667,90.48748,-8.06625
CS,1440481.731,-769,10,29,5.54674,18.7954,-2.71201,208.07749,96.15259,-0.5667,277.38625,-9.02171
EL,1440648.295,-768,4,12,19.08759,24.95071,-2.07338,14.53777,99.56346,-0.5667,103.43283,-10.46038
MF,1440689.662,-768,5,24,3.89477,30.32357,-2.05882,54.0179,258.13771,-0.5667,237.764,-13.13711
AR,1440842.254,-768,10,23,18.10745,34.78067,-2.3952,203.28339,256.69552,-0.5667,84.31347,-8.38896
CS,1440860.74,-768,11,11,5.77076,33.25378,-2.37658,222.10845,102.71288,-0.5667,283.20049,-8.58602
EL,1441028.302,-767,4,27,19.25269,39.39025,-1.74633,28.67402,105.81891,-0.5667,110.07604,-10.564
MF,1441067.656,-767,6,6,3.75064,44.51242,-1.7158,66.15093,252.27143,-0.5667,234.33676,-13.02553
AR,1441222.244,-767,11,7,17.85564,49.19409,-1.91366,218.29405,250.90618,-0.5667,77.89496,-8.02895
CS,1441239.751,-767,11,25,6.01402,47.74587,-1.8896,236.16457,108.64284,-0.5667,288.06362,-8.04062
EL,1441408.31,-766,5,12,19.43222,53.81384,-1.30987,42.7624,111.23244,-0.5667,116.06067,-10.60656
MF,1441445.653,-766,6,19,3.66936,58.66571,-1.26801,78.31158,247.34863,-0.5667,232.02756,-13.09972
AR,1441601.239,-766,11,21,17.74192,63.59777,-1.31471,232.32989,246.18192,-0.5667,73.23147,-8.33862
CS,1441619.758,-766,12,10,6.19132,62.07163,-1.28418,251.23984,113.49521,-0.5667,291.21633,-8.4073
EL,1441788.317,-765,5,27,19.60787,68.12758,-0.79531,56.81405,115.39405,-0.5667,120.91167,-10.49327
MF,1441823.653,-765,7,2,3.66437,72.69438,-0.74741,90.50447,243.74681,-0.5667,231.12749,-13.27445
AR,1441980.238,-765,12,5,17.70705,77.80286,-0.64284,246.383,242.93504,-0.5667,69.7952,-8.60346
CS,1441999.765,-765,12,25,6.34844,76.20548,-0.60758,266.28384,116.91726,-0.5667,292.61828,-8.5759
EL,1442168.323,-764,6,10,19.74919,82.25038,-0.23945,70.86252,117.96227,-0.5667,124.14308,-10.15639
MF,1442201.656,-764,7,14,3.73805,86.52278,-0.1905,102.75204,241.75496,-0.5667,231.81398,-13.47062
AR,1442359.239,-764,12,18,17.74757,91.72218,0.05395,260.41323,241.4152,-0.5667,67.8403,-8.75618
CS,1442379.769,-763,1,8,6.45073,90.06039,0.09154,281.2492,118.64441,-0.5667,292.12919,-8.54624
EL,1442547.328,-763,6,24,19.87788,95.99253,0.31891,83.99356,118.75246,-0.5667,125.88943,-10.24737
MF,1442579.662,-763,7,27,3.87748,100.09225,0.36632,115.07654,241.49805,-0.5667,234.08432,-13.63513
AR,1442738.243,-762,1,1,17.84358,105.29195,0.73047,274.39643,241.66984,-0.5667,67.47833,-8.69314
CS,1442759.769,-762,1,23,6.46594,103.57211,0.76741,296.11335,118.60481,-0.5667,289.78422,-8.41019
EL,1442926.33,-762,7,8,19.91218,109.43713,0.84767,97.16794,117.80982,-0.5667,125.65588,-10.07215
MF,1442957.669,-762,8,9,4.05629,113.36198,0.8905,127.47683,242.89972,-0.5667,237.74374,-13.75594
AR,1443117.249,-761,1,15,17.9643,118.47557,1.34867,288.31126,243.53567,-0.5667,68.66348,-8.32105
CS,1443139.766,-761,2,7,6.37597,116.70329,1.38168,310.86219,116.93672,-0.5667,285.78144,-8.30594
EL,1443304.329,-761,7,21,19.9008,122.43952,1.3185,109.44632,115.37516,-0.5667,124.17191,-10.26349
MF,1443334.679,-761,8,21,4.29971,126.19184,1.35409,138.98853,245.6821,-0.5667,242.69965,-13.0897
AR,1443495.256,-760,1,28,18.15117,131.34143,1.87793,301.12807,246.7368,-0.5667,71.56239,-8.63555
CS,1443519.758,-760,2,22,6.18069,129.44521,1.90566,325.47186,113.92732,-0.5667,280.43679,-8.35578
EL,1443682.325,-760,8,2,19.79335,135.1234,1.71247,121.80031,111.7517,-0.5667,121.11885,-10.24314
MF,1443712.686,-760,9,2,4.47185,138.82895,1.74132,151.57465,249.58389,-0.5667,248.0149,-13.33462
AR,1443873.263,-759,2,9,18.31114,143.82581,2.30144,313.85075,250.90692,-0.5667,75.40681,-8.6333
CS,1443898.748,-759,3,7,5.96233,141.884,2.32082,338.97146,109.88856,-0.5667,274.89876,-8.02955
EL,1444060.317,-759,8,15,19.60583,147.50621,2.01643,134.23585,107.26785,-0.5667,116.79511,-10.0704
MF,1444090.692,-759,9,15,4.61498,151.16974,2.03819,164.25288,254.25688,-0.5667,253.70489,-13.79363
AR,1444251.268,-758,2,22,18.43533,155.96405,2.60867,326.4817,255.72432,-0.5667,79.9471,-8.31833
CS,1444277.736,-758,3,21,5.67027,153.97864,2.61776,352.36796,105.16191,-0.5667,268.68559,-8.09436
EL,1444437.309,-758,8,27,19.41775,159.50141,2.22365,145.77693,102.27107,-0.5667,112.2884,-10.26226
MF,1444467.699,-758,9,27,4.78248,163.12839,2.237,176.01774,259.36619,-0.5667,259.58238,-13.64374
AR,1444628.275,-757,3,6,18.59571,167.87463,2.79428,338.0378,260.96113,-0.5667,85.12925,-8.77402
CS,1444656.722,-757,4,4,5.32463,165.77328,2.7929,5.65904,100.01459,-0.5667,262.06428,-8.54222
EL,1444814.3,-757,9,8,19.18839,171.26431,2.3322,157.39807,96.95596,-0.5667,107.13482,-10.32305
