Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
AR,1453750.5,1453751.139,1453751.262,-732,2,26,18.29807,157.49927,4.05948,330.07393,254.82274,0,80.31987,-6.43673
CS,1453767.5,1453768.625,1453768.748,-732,3,15,5.95282,151.01714,3.6435,347.18312,107.6397,0,272.18793,-6.03239
EL,1454144.5,1454145.17,1454145.293,-731,3,26,19.03155,9.94865,-0.2112,358.1531,94.55185,0,96.82722,-11.57895
MF,1454241.5,1454241.53,1454241.654,-731,7,1,3.68887,74.6712,0.70388,90.24351,241.38179,0,231.01023,-11.70101
AR,1454528.5,1454529.159,1454529.282,-730,4,14,18.77319,202.41794,1.0127,16.21617,279.48027,0,101.72174,-5.8717
CS,1454541.5,1454542.582,1454542.706,-730,4,28,4.94158,197.91838,0.29998,29.06945,81.79119,0,252.3115,-5.90678
EL,1454920.5,1454921.193,1454921.316,-729,5,11,19.59154,54.01589,0.63971,41.82077,113.7542,0,117.61475,-11.59414
MF,1455000.5,1455000.543,1455000.667,-729,7,30,4.00362,104.97894,1.10469,117.71248,240.8337,0,235.24441,-11.51195
AR,1455330.5,1455331.195,1455331.319,-728,6,24,19.65305,268.36146,-5.79146,84.44962,306.19731,0,124.09256,-6.66193
CS,1455335.5,1455336.554,1455336.677,-728,6,30,4.25839,266.93563,-6.01791,89.57558,53.5453,0,236.39029,-5.92401
EL,1455685.5,1455686.212,1455686.336,-727,6,14,20.05485,88.39137,1.09964,74.69226,120.22748,0,127.62425,-11.61429
MF,1455763.5,1455763.565,1455763.689,-727,8,31,4.52848,137.88362,1.15484,149.55618,249.77409,0,247.45515,-11.50038
AR,1456137.5,1456138.161,1456138.285,-726,9,9,18.83676,342.4698,-4.58709,158.82622,283.44513,0,104.02626,-5.82685
CS,1456144.5,1456145.592,1456145.715,-726,9,17,5.16043,340.0229,-4.18338,166.22403,75.8558,0,258.73137,-6.90343
EL,1456444.5,1456445.218,1456445.342,-725,7,13,20.19839,118.46455,1.17405,101.98632,116.52972,0,128.23473,-11.73851
MF,1456532.5,1456532.588,1456532.711,-725,10,9,5.07399,176.31004,0.74327,188.06369,267.40544,0,266.14762,-11.71038
AR,1456914.5,1456915.12,1456915.244,-724,10,25,17.84869,35.78857,0.07118,205.58019,253.52448,0,81.86673,-5.90506
CS,1456926.5,1456927.622,1456927.745,-724,11,7,5.88148,30.96704,0.62384,218.30765,105.08483,0,282.75444,-6.99055
EL,1457204.5,1457205.206,1457205.329,-723,8,11,19.89594,149.97241,0.86397,130.57085,104.95152,0,120.6255,-11.61269
MF,1457312.5,1457312.618,1457312.742,-723,11,27,5.79934,226.14708,-0.18622,238.47277,290.58432,0,286.52507,-11.64934
AR,1457682.5,1457683.102,1457683.225,-722,12,2,17.40842,74.82436,2.98674,243.82611,238.51883,0,68.35613,-5.77304
CS,1457696.5,1457697.647,1457697.77,-722,12,17,6.48441,69.08082,3.36274,258.66505,120.94861,0,293.43202,-6.84324
EL,1457973.5,1457974.172,1457974.295,-721,9,19,19.08256,189.84622,0.09666,168.57864,85.3723,0,103.38092,-11.50693
MF,1458156.5,1458156.601,1458156.725,-720,3,20,5.3979,330.00358,-1.10754,352.11438,285.21284,0,266.18353,-11.52705
AR,1458447.5,1458448.111,1458448.234,-719,1,5,17.6236,108.85913,4.40446,278.9522,237.35271,0,66.0791,-6.44396
CS,1458463.5,1458464.656,1458464.779,-719,1,22,6.69834,102.41494,4.51927,295.63317,123.79075,0,291.35701,-6.38961
EL,1458786.5,1458787.122,1458787.245,-719,12,10,17.88968,267.83579,-1.06052,252.27585,59.83709,0,70.42094,-11.51988
MF,1458946.5,1458946.544,1458946.668,-718,5,19,4.02002,28.0509,-0.29439,49.14034,257.21315,0,239.48315,-11.61196
AR,1459214.5,1459215.129,1459215.253,-717,2,11,18.06329,142.94704,4.47895,315.58927,247.94749,0,74.23536,-5.88979
CS,1459231.5,1459232.636,1459232.76,-717,3,1,6.23571,136.3389,4.21322,332.87752,114.37919,0,278.52126,-6.35164
