Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1435870.735,-781,3,15,5.64502,326.00894,-2.37561,346.12145,287.92805,0,270.34148,-10.19443
EF,1435900.296,-781,4,13,19.09311,25.13776,1.24799,14.68652,102.9219,0,103.53468,-10.50701
EL,1435941.316,-781,5,24,19.58478,66.41996,-2.1284,53.83548,113.09459,0,120.11935,-10.67953
MF,1435965.664,-781,6,18,3.93617,58.6898,-3.41926,77.0156,250.21798,0,234.66464,-10.38689
ML,1435984.667,-781,7,7,4.00633,82.97418,0.70066,95.18461,241.23789,0,234.23343,-10.05088
EF,1436014.323,-781,8,5,19.75053,138.95908,0.79053,123.82611,108.93095,0,120.34318,-10.03576
EL,1436051.296,-781,9,11,19.11034,182.7188,-3.31672,160.20943,85.16765,0,105.65953,-10.07768
MF,1436070.71,-781,10,1,5.03355,168.55552,0.5728,179.63421,264.01433,0,263.02551,-11.0497
ML,1436103.73,-781,11,3,5.52432,202.89107,0.60551,213.08915,279.91286,0,278.80241,-10.15596
EF,1436145.245,-781,12,14,17.87793,269.68962,-1.83895,255.46848,59.61917,0,69.4061,-10.5286
EL,1436166.25,-780,1,4,18.01122,287.10492,2.66617,276.81509,66.38843,0,68.59623,-10.39672
MF,1436176.761,-780,1,15,6.2542,276.36744,3.69967,287.43674,293.49864,0,289.86145,-11.08976
ML,1436220.748,-780,2,28,5.94073,312.5504,-2.23911,331.22591,292.89245,0,276.99759,-10.18042
