Saturn,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1450093.278,-742,2,20,18.67841,336.83525,-2.16844,324.6414,76.94674,0,81.16243,-11.6531
MF,1450134.713,-742,4,3,5.11549,342.09079,-2.20068,5.04626,280.71902,0,260.53813,-11.38805
AR,1450295.283,-742,9,10,18.78837,346.14274,-2.7997,159.73858,279.50134,0,103.14976,-5.96288
CS,1450306.721,-742,9,22,5.3037,345.22221,-2.80399,171.14616,80.06782,0,261.97524,-6.26927
EL,1450473.283,-741,3,7,18.78946,350.67404,-2.30467,339.14549,83.14348,0,87.01403,-11.10648
MF,1450514.699,-741,4,18,4.7827,355.97714,-2.32523,19.2141,274.38556,0,253.80192,-11.26486
AR,1450675.269,-741,9,25,18.44774,0.00224,-2.88999,174.46038,273.09156,0,95.99607,-5.53429
CS,1450685.728,-741,10,6,5.48073,359.14995,-2.88896,184.97585,86.50751,0,268.6142,-6.15121
EL,1450852.29,-740,3,20,18.9659,4.6379,-2.30857,352.55359,89.71318,0,93.60402,-11.677
MF,1450894.685,-740,5,2,4.44596,10.10748,-2.31369,33.304,267.73697,0,247.27329,-11.40007
AR,1451054.257,-740,10,8,18.17793,14.21653,-2.80621,188.28905,266.37205,0,89.56827,-5.72712
CS,1451064.736,-740,10,19,5.67382,13.35431,-2.80084,198.89512,93.23863,0,275.22563,-5.88103
EL,1451232.296,-739,4,4,19.10154,18.92563,-2.17141,6.82346,96.44709,0,100.47803,-11.62249
MF,1451273.674,-739,5,16,4.18535,24.29677,-2.15937,46.4038,261.16657,0,241.9586,-11.36174
AR,1451433.247,-739,10,22,17.93005,28.62113,-2.54678,202.20832,259.74073,0,83.31094,-5.90609
CS,1451443.745,-739,11,2,5.88735,27.75177,-2.53733,212.88784,99.90297,0,281.4641,-5.51094
EL,1451612.302,-738,4,19,19.25655,33.3327,-1.89795,21.0009,102.91638,0,107.32905,-11.67984
MF,1451651.668,-738,5,29,4.02067,38.46079,-1.86982,58.53655,255.03586,0,238.09023,-11.08357
AR,1451812.239,-738,11,5,17.7248,43.10745,-2.12498,216.19538,253.60024,0,77.54611,-6.06288
CS,1451823.752,-738,11,17,6.04996,42.15198,-2.11019,227.94508,106.07136,0,286.67809,-6.13441
EL,1451992.31,-737,5,4,19.42944,47.7668,-1.50485,35.10982,108.71839,0,113.75125,-11.72398
MF,1452030.661,-737,6,12,3.85305,52.7577,-1.46433,71.62272,249.6399,0,234.53099,-11.52287
AR,1452191.233,-737,11,19,17.58148,57.55527,-1.56998,230.22763,248.37826,0,72.61214,-6.18787
CS,1452202.762,-737,12,1,6.29701,56.5999,-1.55207,242.00332,111.37944,0,291.02834,-5.61034
EL,1452372.317,-736,5,18,19.60767,62.13047,-1.01968,49.17006,113.43773,0,119.27948,-11.63352
MF,1452408.659,-736,6,24,3.81618,66.84098,-0.97185,83.78567,245.45914,0,232.95056,-11.56337
AR,1452570.23,-736,12,2,17.51381,71.84733,-0.92304,244.27954,244.48204,0,68.84364,-6.25866
CS,1452582.769,-736,12,15,6.46341,70.81381,-0.90098,257.06916,115.3715,0,293.464,-6.02601
EL,1452752.324,-735,6,2,19.76575,76.33516,-0.47735,63.21874,116.69798,0,123.40315,-11.30888
