Almagest Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-759,8,27,7.51037,-759,12,24,12.39863,-758,3,4,3.70642,-758,5,12,16.53028,1444071.81293,1444191.01661,1444260.65443,1444330.18876,150.15494,143.80173,147.78859,150.15494,159.84737,147.79368,268.58184,267.64629,156.28378,150.12575,338.66817,336.28378,152.73513,152.45436,45.63111,44.81927
-758,9,8,22.12278,-757,1,5,18.32235,-757,3,16,14.86517,-757,5,25,9.30275,1444449.42178,1444568.26343,1444638.11938,1444707.88761,162.33954,156.4473,159.95872,162.33954,171.8768,160.42713,280.85523,279.47406,168.32655,162.7665,350.63185,348.32655,164.78912,165.10294,57.42826,57.09258
-757,9,21,6.05283,-756,1,17,18.74975,-756,3,27,19.81698,-756,6,5,19.19714,1444826.7522,1444945.28124,1445015.32571,1445085.29988,174.24971,169.08354,171.95948,174.24971,183.65376,173.05291,292.83144,291.07612,180.11441,175.39859,2.247,0.11441,176.58546,177.74193,68.94062,69.08343
-756,10,2,8.29871,-755,1,28,14.94977,-755,4,8,19.64783,-755,6,17,23.09445,1445203.84578,1445322.12291,1445392.31866,1445462.46227,185.92645,181.71186,183.82425,185.92645,195.22283,185.67278,304.55221,302.50456,191.69197,188.02354,13.57198,11.69197,188.1689,190.37254,80.22174,80.82798
-755,10,14,6.02108,-754,2,9,8.2943,-754,4,20,15.5812,-754,6,29,22.0566,1445580.75088,1445698.8456,1445769.14922,1445839.41902,197.41741,194.33386,195.59043,197.41741,206.63411,198.28868,316.06748,313.81573,203.10946,200.64304,24.67085,23.10946,199.58991,202.99628,91.33006,92.36986
-754,10,26,0.49541,-753,2,21,0.20785,-753,5,2,8.93472,-753,7,11,17.2877,1445957.52064,1446075.50866,1446145.87228,1446216.22032,208.77498,206.95133,207.29805,208.77498,217.94156,210.90257,327.43244,325.06814,214.421,213.25895,35.61114,34.421,210.9028,215.6148,102.32774,103.75851
-753,11,6,17.07246,-752,3,3,16.12988,-752,5,13,1.08376,-752,7,22,10.09874,1446334.21135,1446452.17208,1446522.54516,1446592.92078,220.05464,219.56615,218.98851,220.05463,229.20155,223.51648,338.70519,336.32089,225.68308,225.87317,46.46226,45.68308,222.16421,228.22995,113.27983,115.04777
-752,11,17,9.14422,-751,3,15,9.48123,-751,5,24,17.42935,-751,8,3,1.87335,1446710.88101,1446828.89505,1446899.22622,1446969.57806,231.31354,232.18026,230.70338,231.31354,240.47159,236.13238,349.94494,347.63234,236.95322,238.48767,57.29442,56.95322,233.43172,240.84365,124.25326,126.29447
-751,11,29,2.11336,-750,3,27,5.62886,-750,6,5,11.36842,-750,8,14,18.04221,1447087.58806,1447205.73454,1447275.97368,1447346.25176,242.60929,244.79563,242.48319,242.60929,251.80912,248.75219,1.21031,359.05863,248.28881,251.10439,68.17774,68.28881,244.76264,253.4579,135.31623,137.55736
-750,12,10,21.36351,-749,4,8,5.85682,-749,6,17,8.26353,-749,8,26,12.04433,1447464.39015,1447582.74403,1447652.84431,1447723.00185,253.99873,257.41419,254.36622,253.99873,263.27027,261.37768,12.55826,10.65249,259.7458,263.72524,79.18158,79.7458,256.2128,266.07471,146.53678,148.89554
