Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1434323.5,1434323.635,1434323.758,-786,12,19,6.20306,250.3768,3.49164,260.23639,292.78419,0,291.32061,-10.35199
ML,1434368.5,1434368.639,1434368.763,-785,2,2,6.30623,288.93335,-1.92348,305.65904,299.553,0,286.19225,-10.33342
EF,1434397.5,1434398.153,1434398.277,-785,3,3,18.64565,345.03474,0.13896,334.85455,82.99061,0,84.72238,-10.0343
EL,1434428.5,1434429.17,1434429.293,-785,4,3,19.03541,15.4606,2.12763,4.99479,99.7464,0,99.60048,-10.67654
MF,1434462.5,1434462.56,1434462.684,-785,5,7,4.41027,13.59185,-3.39664,36.97549,267.22668,0,245.72881,-10.01429
ML,1434470.5,1434470.554,1434470.677,-785,5,15,4.25082,22.91861,-2.62397,44.58811,262.08541,0,242.59547,-10.00822
EF,1434503.5,1434504.208,1434504.331,-785,6,17,19.95373,88.26168,1.87786,76.62425,121.21513,0,126.76295,-10.41484
EL,1434547.5,1434548.207,1434548.33,-785,7,31,19.92842,140.71373,-3.73641,118.90729,103.51598,0,123.22977,-10.21398
MF,1434568.5,1434568.56,1434568.684,-785,8,21,4.41064,126.6397,-1.47482,138.77354,248.95364,0,243.26463,-10.83488
ML,1434592.5,1434592.578,1434592.701,-785,9,14,4.83327,152.43619,1.86405,162.53452,254.99294,0,254.55579,-10.25797
EF,1434643.5,1434644.128,1434644.251,-785,11,4,18.03453,233.49133,-2.35232,214.56932,64.35968,0,80.66819,-10.00649
EL,1434659.5,1434660.122,1434660.245,-785,11,20,17.89096,246.68313,-0.35698,230.8882,63.24185,0,75.03649,-10.58686
MF,1434672.5,1434672.627,1434672.75,-785,12,3,6.00027,233.93153,3.0825,243.66347,289.31925,0,288.75102,-10.18829
ML,1434717.5,1434717.642,1434717.766,-784,1,17,6.37311,274.48578,-1.67382,289.37663,300.87367,0,290.02492,-10.39605
EF,1434747.5,1434748.148,1434748.271,-784,2,16,18.51434,330.85765,-0.21706,319.83539,76.15579,0,78.88284,-10.6858
EL,1434774.5,1434775.161,1434775.284,-784,3,14,18.81574,356.48238,3.18823,346.34597,91.79544,0,90.35867,-10.52446
MF,1434799.5,1434799.588,1434799.711,-784,4,8,5.06311,347.75251,-2.24291,9.97516,278.34951,0,258.33353,-10.10849
ML,1434818.5,1434818.569,1434818.692,-784,4,27,4.61446,5.26873,-2.81098,28.16457,270.54002,0,249.6616,-10.01371
EF,1434851.5,1434852.199,1434852.322,-784,5,30,19.72927,70.82256,1.85855,60.19452,119.42757,0,122.95853,-10.1997
