Jupiter,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1437238.5,1437239.119,1437239.242,-778,12,12,17.81886,266.43645,0.06597,253.65272,61.70187,-0.5667,69.64023,-10.62532
MF,1437271.5,1437271.631,1437271.754,-777,1,14,6.10079,270.31024,0.02466,286.64635,298.40983,-0.5667,288.46438,-13.60148
AR,1437432.5,1437433.203,1437433.326,-777,6,24,19.82934,274.93143,-0.22175,83.36166,298.60048,-0.5667,125.73121,-8.56661
CS,1437453.5,1437454.549,1437454.673,-777,7,16,4.14894,273.34626,-0.2551,103.83019,61.29502,-0.5667,235.42297,-8.13464
EL,1437616.5,1437617.12,1437617.243,-777,12,25,17.83586,278.35918,-0.41671,266.63856,61.37506,-0.5667,68.17275,-10.15047
MF,1437650.5,1437650.63,1437650.753,-776,1,28,6.07197,282.39243,-0.46044,300.46393,298.28055,-0.5667,285.6128,-13.58473
AR,1437810.5,1437811.203,1437811.327,-776,7,6,19.84076,286.89401,-0.81119,95.57373,298.09117,-0.5667,125.40258,-8.13262
CS,1437830.5,1437831.554,1437831.678,-776,7,27,4.268,285.36347,-0.84257,115.18936,61.63706,-0.5667,237.43816,-8.3629
EL,1437993.5,1437994.126,1437994.249,-775,1,5,17.98373,290.41655,-0.8901,278.56758,62.42658,-0.5667,68.76812,-10.6391
MF,1438029.5,1438029.626,1438029.75,-775,2,10,5.9922,294.73699,-0.93615,314.1735,296.73031,-0.5667,281.69145,-13.0803
AR,1438187.5,1438188.205,1438188.328,-775,7,18,19.87367,299.26608,-1.37836,106.88492,296.15871,-0.5667,124.56481,-8.65321
CS,1438207.5,1438208.562,1438208.686,-775,8,8,4.46068,297.71588,-1.4087,126.61789,63.4061,-0.5667,240.97779,-8.11399
EL,1438371.5,1438372.132,1438372.256,-774,1,18,18.13566,302.88213,-1.33442,291.44426,64.89293,-0.5667,70.50969,-10.63732
MF,1438410.5,1438410.616,1438410.739,-774,2,26,5.73617,307.61469,-1.38344,329.73537,293.7185,-0.5667,275.41531,-13.31403
AR,1438566.5,1438567.198,1438567.321,-774,8,1,19.71276,311.86235,-1.90039,120.19348,292.90234,-0.5667,120.98578,-8.08131
CS,1438585.5,1438586.57,1438586.693,-774,8,21,4.63885,310.36449,-1.92577,139.1067,66.55072,-0.5667,245.44765,-8.31571
EL,1438750.5,1438751.138,1438751.261,-773,2,1,18.27427,315.78437,-1.72487,305.23843,68.71673,-0.5667,73.54689,-10.11053
MF,1438791.5,1438791.602,1438791.726,-773,3,14,5.42061,320.81334,-1.77399,345.1478,289.40841,-0.5667,268.38909,-13.28186
AR,1438944.5,1438945.192,1438945.315,-773,8,14,19.5698,324.92817,-2.34002,132.61739,288.3845,-0.5667,117.15266,-8.4102
CS,1438963.5,1438964.579,1438964.702,-773,9,3,4.85613,323.4074,-2.36141,151.69312,70.96305,-0.5667,251.08465,-8.04583
EL,1439128.5,1439129.147,1439129.271,-772,2,14,18.49365,328.88599,-2.03546,317.93824,73.63724,-0.5667,78.20004,-10.73451
MF,1439172.5,1439172.587,1439172.711,-772,3,29,5.05539,334.34121,-2.08142,0.42016,284.01597,-0.5667,260.90376,-13.21587
AR,1439323.5,1439324.181,1439324.305,-772,8,27,19.31576,338.31424,-2.66905,146.11757,282.86806,-0.5667,111.62845,-8.35189
CS,1439342.5,1439343.586,1439343.709,-772,9,16,5.02637,336.76957,-2.68376,165.3745,76.40828,-0.5667,257.26843,-8.40315
EL,1439508.5,1439509.152,1439509.276,-771,2,28,18.61668,342.55576,-2.24226,332.49538,79.57369,-0.5667,83.67828,-10.02832
MF,1439553.5,1439553.571,1439553.694,-771,4,14,4.65578,348.18654,-2.28057,15.57362,277.80742,-0.5667,253.22468,-13.2964
AR,1439702.5,1439703.17,1439703.293,-771,9,10,19.03427,352.07202,-2.8558,159.73843,276.57909,-0.5667,105.47806,-8.46083
CS,1439721.5,1439722.594,1439722.717,-771,9,30,5.21371,350.50565,-2.86291,179.17034,82.66095,-0.5667,263.97879,-8.46024
EL,1439887.5,1439888.16,1439888.284,-770,3,14,18.80605,356.38686,-2.32494,345.95561,86.08204,-0.5667,90.13286,-10.46319
MF,1439933.5,1439933.556,1439933.679,-770,4,29,4.30041,2.19542,-2.34889,29.68604,271.14043,-0.5667,246.40337,-13.23333
AR,1440083.5,1440083.155,1440083.278,-770,9,25,18.67391,6.07378,-2.87844,174.46437,269.85517,-0.5667,98.09803,-8.11845
CS,1440100.5,1440101.602,1440101.726,-770,10,14,5.41721,4.56843,-2.87652,193.05697,89.42415,-0.5667,270.82977,-8.28238
EL,1440267.5,1440268.166,1440268.29,-769,3,29,18.95328,10.584,-2.26947,0.28319,92.96635,-0.5667,97.01415,-10.31372
MF,1440312.5,1440312.544,1440312.667,-769,5,13,4.00917,16.30788,-2.275,42.79674,264.34723,-0.5667,240.68205,-13.08652
AR,1440461.5,1440462.143,1440462.266,-769,10,9,18.39172,20.39803,-2.72319,188.30009,262.95977,-0.5667,91.53593,-8.4117
CS,1440480.5,1440481.609,1440481.732,-769,10,29,5.56779,18.79861,-2.71208,208.03734,96.32089,-0.5667,277.20373,-9.01831
EL,1440647.5,1440648.173,1440648.297,-768,4,12,19.1182,24.94562,-2.07344,14.5003,99.81025,-0.5667,104.05726,-10.34047
MF,1440691.5,1440691.533,1440691.656,-768,5,26,3.74246,30.56584,-2.06012,55.8769,257.73058,-0.5667,235.53972,-13.27512
AR,1440841.5,1440842.13,1440842.253,-768,10,23,18.07044,34.78405,-2.39521,203.24085,256.35277,-0.5667,84.34188,-8.12121
CS,1440859.5,1440860.619,1440860.742,-768,11,11,5.81163,33.25694,-2.37665,222.06903,103.04071,-0.5667,283.18981,-8.55661
EL,1441027.5,1441028.181,1441028.304,-767,4,27,19.30266,39.38528,-1.74639,28.63751,106.22198,-0.5667,110.87154,-10.42382
MF,1441069.5,1441069.526,1441069.649,-767,6,8,3.58095,44.75694,-1.71587,68.01049,251.72852,-0.5667,232.01187,-13.2999
AR,1441220.5,1441221.121,1441221.245,-767,11,6,17.87001,49.27812,-1.91435,217.23347,250.38821,-0.5667,78.61033,-8.46344
CS,1441239.5,1441240.627,1441240.75,-767,11,26,6.00176,47.66745,-1.88761,237.14419,109.0969,-0.5667,287.8379,-9.01278
EL,1441407.5,1441408.189,1441408.312,-766,5,12,19.49995,53.80898,-1.30994,42.7267,111.77936,-0.5667,117.01598,-10.43638
MF,1441447.5,1441447.522,1441447.645,-766,6,21,3.48461,58.91126,-1.26693,80.17388,246.69264,-0.5667,229.63229,-13.53892
AR,1441600.5,1441601.113,1441601.236,-766,11,21,17.67035,63.60126,-1.31476,232.28564,245.56031,-0.5667,72.99896,-8.07966
CS,1441618.5,1441619.638,1441619.761,-766,12,10,6.26749,62.07466,-1.28426,251.20195,114.10752,-0.5667,291.48385,-8.27095
EL,1441787.5,1441788.197,1441788.32,-765,5,27,19.6902,68.12283,-0.79538,56.77895,116.05947,-0.5667,121.99532,-10.28653
MF,1441824.5,1441824.523,1441824.647,-765,7,3,3.52593,72.81456,-0.74641,91.41763,243.03445,-0.5667,229.33574,-13.31458
AR,1441979.5,1441980.111,1441980.234,-765,12,5,17.62372,77.80636,-0.64291,246.33829,242.21852,-0.5667,69.48637,-8.34698
CS,1441998.5,1441999.645,1441999.768,-765,12,25,6.43697,76.20843,-0.60765,266.24661,117.62929,-0.5667,292.9741,-8.35541
EL,1442166.5,1442167.206,1442167.329,-764,6,9,19.89693,82.11869,-0.24107,69.87717,118.69395,-0.5667,125.75219,-10.60141
MF,1442201.5,1442201.529,1442201.652,-764,7,14,3.64963,86.51725,-0.19056,102.70969,241.00294,-0.5667,230.55116,-13.01518
AR,1442358.5,1442359.112,1442359.236,-764,12,18,17.6585,91.72566,0.05387,260.36841,240.65253,-0.5667,67.49421,-8.51657
CS,1442378.5,1442379.649,1442379.773,-763,1,8,6.54578,90.06328,0.09147,281.21245,119.40901,-0.5667,292.53954,-8.23258
EL,1442545.5,1442546.211,1442546.335,-763,6,23,20.02948,95.86256,0.31752,83.00531,119.52623,-0.5667,127.6266,-10.59589
MF,1442579.5,1442579.534,1442579.658,-763,7,27,3.78805,100.08675,0.36625,115.03387,240.73736,-0.5667,232.79501,-13.28092
AR,1442737.5,1442738.116,1442738.24,-762,1,1,17.75549,105.2954,0.73038,274.35185,240.91554,-0.5667,67.13347,-8.48267
CS,1442758.5,1442759.65,1442759.773,-762,1,23,6.56082,103.57494,0.76736,296.07684,119.36782,-0.5667,290.20587,-8.00343
EL,1442924.5,1442925.212,1442925.336,-762,7,7,20.06115,109.30892,0.84659,96.1753,118.57073,-0.5667,127.43514,-10.34033
MF,1442957.5,1442957.542,1442957.666,-762,8,9,3.97215,113.35657,0.89043,127.43408,242.18138,-0.5667,236.49062,-13.49712
AR,1443116.5,1443117.122,1443117.245,-761,1,15,17.88323,118.47897,1.34858,288.26722,242.83852,-0.5667,68.34992,-8.14509
CS,1443139.5,1443140.643,1443140.766,-761,2,8,6.39452,116.63058,1.3825,311.8181,117.66784,-0.5667,285.38049,-8.52159
EL,1443302.5,1443303.212,1443303.335,-761,7,20,20.0417,122.31325,1.31778,108.44821,116.07651,-0.5667,125.94307,-10.45299
MF,1443335.5,1443335.55,1443335.674,-761,8,22,4.17009,126.30839,1.35568,139.92561,245.0817,-0.5667,241.28153,-13.72266
AR,1443494.5,1443495.13,1443495.253,-760,1,28,18.08161,131.34475,1.87784,301.0848,246.13298,-0.5667,71.34168,-8.47822
CS,1443519.5,1443520.634,1443520.758,-760,2,23,6.18882,129.37454,1.90591,326.41873,114.57538,-0.5667,279.92879,-8.43145
EL,1443680.5,1443681.207,1443681.33,-760,8,1,19.92231,134.99878,1.71213,120.79492,112.36011,-0.5667,122.82495,-10.38407
MF,1443712.5,1443712.56,1443712.684,-760,9,2,4.41135,138.82378,1.74125,151.53226,249.05574,-0.5667,246.98626,-13.22706
AR,1443872.5,1443873.137,1443873.261,-759,2,9,18.25573,143.82904,2.30136,313.80839,250.4177,-0.5667,75.28707,-8.49465
CS,1443898.5,1443899.625,1443899.748,-759,3,8,5.95698,141.815,2.32052,339.90961,110.42811,-0.5667,274.28846,-8.02
EL,1444058.5,1444059.198,1444059.322,-759,8,14,19.7205,147.38293,2.01643,133.22203,107.76303,-0.5667,118.39995,-10.19157
MF,1444090.5,1444090.567,1444090.69,-759,9,15,4.56975,151.1647,2.03813,164.21078,253.8516,-0.5667,252.79101,-13.72648
AR,1444250.5,1444251.143,1444251.266,-758,2,22,18.39538,155.96719,2.60861,326.44031,255.36003,-0.5667,79.92875,-8.19478
CS,1444277.5,1444278.612,1444278.735,-758,3,22,5.64987,153.91141,2.61692,353.29797,105.57948,-0.5667,267.95306,-8.01472
EL,1444435.5,1444436.19,1444436.313,-758,8,26,19.51711,159.3795,2.22402,144.75519,102.64353,-0.5667,113.79044,-10.35921
MF,1444467.5,1444467.575,1444467.698,-758,9,27,4.75312,163.12348,2.23695,175.97602,259.0887,-0.5667,258.81109,-13.60632
AR,1444627.5,1444628.15,1444628.274,-757,3,6,18.57181,167.87768,2.79423,337.99737,260.72629,-0.5667,85.24979,-8.65474
CS,1444656.5,1444657.597,1444657.72,-757,4,5,5.28851,165.70787,2.79155,6.58204,100.30425,-0.5667,261.19414,-8.40297
EL,1444812.5,1444813.18,1444813.303,-757,9,7,19.27191,171.1435,2.3329,156.3688,97.20089,-0.5667,108.51948,-10.41561
MF,1444844.5,1444844.581,1444844.705,-757,10,9,4.90907,174.85631,2.33746,187.81604,264.5821,-0.5667,264.65548,-13.73179
AR,1445004.5,1445005.157,1445005.28,-756,3,17,18.71927,179.53182,2.86081,349.47169,266.26674,-0.5667,90.77063,-8.8765
CS,1445033.5,1445034.586,1445034.71,-756,4,16,5.02875,177.3831,2.84934,17.86814,94.75907,-0.5667,255.92799,-8.0948
EL,1445189.5,1445190.168,1445190.292,-756,9,18,19.0021,182.71291,2.34434,168.06764,91.632,-0.5667,102.81836,-10.37369
MF,1445220.5,1445220.589,1445220.713,-756,10,19,5.10135,186.28577,2.3405,198.70962,270.09012,-0.5667,270.27072,-13.20441
AR,1445381.5,1445382.162,1445382.285,-755,3,29,18.84679,190.98029,2.81257,0.86568,271.80999,-0.5667,96.34181,-8.90706
CS,1445410.5,1445411.574,1445411.698,-755,4,28,4.7501,188.849,2.79277,29.10378,89.18075,-0.5667,250.64005,-8.16043
EL,1445566.5,1445567.157,1445567.28,-755,9,30,18.7232,194.12964,2.26251,179.84794,86.10048,-0.5667,96.9013,-10.2436
MF,1445597.5,1445597.594,1445597.718,-755,10,31,5.22595,197.68697,2.252,210.66442,275.56676,-0.5667,275.31926,-13.73251
AR,1445758.5,1445759.167,1445759.29,-754,4,10,18.96411,202.27592,2.65625,12.19669,277.21141,-0.5667,101.82101,-8.78648
CS,1445787.5,1445788.563,1445788.686,-754,5,10,4.46789,200.15815,2.62881,40.30591,83.71679,-0.5667,245.50245,-8.55048
EL,1445943.5,1445944.145,1445944.269,-754,10,12,18.44968,205.43808,2.09363,191.6923,80.75238,-0.5667,90.98051,-10.04139
MF,1445973.5,1445973.602,1445973.725,-754,11,11,5.40422,208.87271,2.07698,221.63498,280.76314,-0.5667,279.92043,-13.46714
AR,1446135.5,1446136.172,1446136.295,-753,4,22,19.08031,213.47569,2.40033,23.47873,282.33753,-0.5667,107.07103,-8.56528
CS,1446162.5,1446163.557,1446163.681,-753,5,20,4.33436,211.50099,2.3706,49.59445,78.45009,-0.5667,242.3269,-8.06245
EL,1446319.5,1446320.137,1446320.261,-753,10,23,18.2558,216.5727,1.84682,202.58424,75.77684,-0.5667,86.04844,-10.29915
MF,1446349.5,1446349.609,1446349.733,-753,11,22,5.58652,220.00728,1.82382,232.62389,285.59528,-0.5667,283.87405,-13.19776
AR,1446512.5,1446513.177,1446513.3,-752,5,3,19.2025,224.64121,2.05463,34.71102,287.05174,-0.5667,111.95833,-8.31428
CS,1446538.5,1446539.55,1446539.673,-752,5,30,4.15824,222.73811,2.02167,59.82003,73.60348,-0.5667,238.82082,-8.30299
EL,1446696.5,1446697.128,1446697.251,-752,11,3,18.03548,227.81381,1.52843,214.54229,71.22361,-0.5667,80.69932,-10.03317
MF,1446726.5,1446726.615,1446726.738,-752,12,3,5.72039,231.25653,1.50107,244.64287,289.9511,-0.5667,286.79841,-13.66877
AR,1446889.5,1446890.182,1446890.306,-751,5,15,19.33407,235.83329,1.63033,45.91477,291.20029,-0.5667,116.33627,-8.08166
CS,1446914.5,1446915.544,1446915.668,-751,6,10,4.02322,233.99771,1.59534,70.05136,69.30353,-0.5667,236.01366,-8.64427
EL,1447072.5,1447073.123,1447073.247,-751,11,14,17.9225,238.98187,1.15165,225.50991,67.34706,-0.5667,76.71553,-10.36688
MF,1447102.5,1447102.623,1447102.747,-751,12,14,5.91775,242.44048,1.11968,255.62722,293.57907,-0.5667,289.12742,-13.04321
AR,1447265.5,1447266.191,1447266.314,-750,5,26,19.54463,247.1856,1.14121,56.16438,294.62082,-0.5667,120.52381,-8.82308
