Almagest Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong(west),,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elongations,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,,east,west
-789,12,12,23.27655,-788,1,15,16.58195,-788,1,25,5.55233,-788,2,4,13.93579,-788,2,16,23.85988,-788,2,26,13.55435,1433221.46986,1433255.19091,1433264.73135,1433275.08066,1433287.49416,1433297.06476,255.67402,255.67402,-103.88674,255.67402,309.76562,288.91068,-69.39831,288.91068,314.88469,298.31407,-59.73589,298.31407,308.51473,308.51472,-49.31812,308.51472,299.96466,320.7499,-36.91808,320.7499,305.09805,330.18303,-27.43211,330.18303,,20.85494,-25.084979999999973
-788,4,4,4.51831,-788,5,12,11.73123,-788,5,21,21.62453,-788,6,3,15.86078,-788,6,13,17.65641,-788,6,23,7.66255,1433334.68826,1433372.9888,1433382.40102,1433395.16087,1433405.23568,1433414.81927,7.26608,7.26607,-350.74832,7.26607,70.92204,45.01644,-314.17916,45.01644,75.96809,54.29345,-305.26037,54.29345,66.87001,66.87001,-293.18435,66.87001,60.69909,76.8001,-283.64888,76.8001,65.85711,86.24603,-274.56744,86.24603,,25.905599999999993,-20.38892
-788,7,27,4.50879,-788,9,1,14.18814,-788,9,14,13.78784,-788,9,25,8.716,-788,10,5,22.79588,-788,10,19,0.16279,1433448.68787,1433485.09117,1433498.07449,1433508.86317,1433519.44983,1433532.50678,119.62811,119.62811,-242.25935,119.62811,176.0937,155.50849,-206.87745,155.50849,182.94363,168.30531,-194.04311,168.30531,178.93901,178.939,-183.28729,178.939,175.05463,189.37359,-172.65506,189.37359,181.95159,202.24299,-159.44403,202.24299,,20.585210000000018,-20.29139999999998
-788,11,24,7.13635,-788,12,28,5.3385,-787,1,6,20.33743,-787,1,16,20.34521,-787,1,29,16.76727,-787,2,8,2.29156,1433568.79735,1433602.72244,1433612.34739,1433622.34772,1433635.19864,1433644.59548,238.01225,238.01225,-122.31273,238.01225,291.69776,271.45001,-87.46522,271.45001,296.88358,280.93671,-77.63115,280.93671,290.79339,290.79338,-67.45954,290.79338,281.58197,303.4597,-54.47202,303.4597,286.62144,312.72156,-45.04251,312.72156,,20.247749999999996,-26.100120000000004
-787,3,18,12.87689,-787,4,24,22.41356,-787,5,4,13.65315,-787,5,16,21.19061,-787,5,27,7.38596,-787,6,5,20.74411,1433683.03654,1433720.4339,1433730.06888,1433742.38294,1433752.80775,1433762.36434,350.61043,350.61042,-7.11062,350.61042,52.30873,27.47058,-331.10534,27.47058,57.47795,36.96716,-321.93251,36.96716,49.10434,49.10433,-310.2473,49.10433,42.70219,59.37939,-300.37575,59.37939,47.82667,68.7987,-291.33274,68.7987,,24.838149999999995,-20.972029999999997
-787,7,9,13.51776,-787,8,15,12.91725,-787,8,27,22.35138,-787,9,8,16.82977,-787,9,18,12.69344,-787,10,1,13.37131,1433796.06324,1433833.03822,1433845.43131,1433857.20124,1433867.02889,1433880.05714,102.01354,102.01353,-259.3603,102.01353,160.5789,138.45737,-223.79627,138.45737,167.10366,150.67244,-211.6967,150.67244,162.27331,162.2733,-200.10773,162.2733,158.67491,171.95978,-190.35591,171.95978,165.60105,184.80088,-177.32359,184.80088,,22.121530000000007,-19.19983000000002
-787,11,6,10.14734,-787,12,10,16.37052,-787,12,20,15.83619,-787,12,30,8.06104,-786,1,12,13.24457,-786,1,21,23.71071,1433915.92281,1433950.18211,1433960.15984,1433969.83588,1433983.05186,1433992.48795,220.15135,220.15135,-140.91103,220.15135,273.48658,253.91852,-105.71743,253.91852,278.87755,263.75293,-95.46903,263.75293,273.28997,273.28997,-85.55496,273.28997,263.89396,286.31611,-72.07343,286.31611,268.94252,295.61665,-62.50212,295.61665,,19.568060000000003,-26.67412999999999
-786,3,1,20.40729,-786,4,7,3.58181,-786,4,17,0.94811,-786,4,28,22.16217,-786,5,9,16.37636,-786,5,19,9.40561,1434031.3503,1434067.64924,1434077.5395,1434089.42342,1434100.18235,1434109.8919,333.92077,333.92076,-23.69146,333.92076,33.42416,9.69827,-348.37282,9.69827,38.72281,19.44647,-338.88315,19.44647,31.15968,31.15968,-327.53826,31.15968,24.69178,41.76405,-317.30997,41.76405,29.8788,51.33413,-308.1039,51.33413,,23.72589,-21.455330000000004
-786,6,22,3.97614,-786,7,29,19.06026,-786,8,10,7.77046,-786,8,22,23.44391,-786,9,1,8.93293,-786,9,13,21.42299,1434143.66567,1434181.29418,1434192.82377,1434205.47683,1434214.87221,1434227.39262,84.62275,84.62275,-276.12923,84.62275,145.50024,121.71073,-240.22741,121.71073,151.58524,133.0747,-229.09633,133.0747,145.54601,145.54601,-216.78718,145.54601,141.84493,154.80642,-207.57812,154.80642,148.55627,167.14699,-195.20976,167.14699,,23.789509999999993,-18.590719999999976
-786,10,19,9.42096,-786,11,23,0.75454,-786,12,3,15.18475,-786,12,13,1.22937,-786,12,26,11.21215,-785,1,5,5.41209,1434262.89254,1434297.53144,1434308.1327,1434317.55122,1434330.96717,1434340.7255,202.13696,202.13696,-159.55328,202.13696,255.2192,236.27828,-124.12118,236.27828,260.95521,246.72725,-113.21988,246.72725,256.01049,256.01048,-103.53591,256.01048,247.08228,269.23372,-89.76785,269.23372,252.28465,278.85187,-79.78895,278.85187,,18.940920000000006,-26.56722000000002
