Mars,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
AR,1465448.268,-700,3,6,18.42767,166.83943,3.6624,339.18001,259.54396,-0.5667,84.27426,-6.48399
CS,1465466.736,-700,3,25,5.66436,160.11228,3.10927,357.15705,102.95537,-0.5667,267.2307,-6.76171
EL,1465840.301,-699,4,2,19.2277,18.21362,-0.03887,5.19787,98.77993,-0.5667,100.86535,-13.41759
MF,1465942.651,-699,7,14,3.63202,86.03963,0.8709,102.99543,240.4902,-0.5667,230.78496,-14.5727
AR,1466229.289,-698,4,26,18.92623,215.36209,-0.16733,27.98895,285.66484,-0.5667,107.07832,-6.67218
CS,1466242.698,-698,5,10,4.74604,211.0886,-0.96574,40.78534,75.19826,-0.5667,248.03725,-6.05489
EL,1466614.322,-697,5,16,19.73171,60.34837,0.75551,46.86261,115.45761,-0.5667,119.83761,-13.35755
MF,1466702.669,-697,8,13,4.04788,116.86354,1.17181,131.60892,243.35702,-0.5667,238.54601,-14.57186
AR,1467038.315,-696,7,13,19.55037,285.96452,-6.69999,102.93578,304.6879,-0.5667,121.90681,-6.23881
CS,1467044.685,-696,7,20,4.42841,284.28172,-6.77239,109.07047,54.97248,-0.5667,238.48292,-6.94484
EL,1467378.339,-695,6,18,20.13266,93.89817,1.14461,78.78731,119.84978,-0.5667,128.18415,-13.27337
MF,1467467.69,-695,9,16,4.5512,151.40951,1.08438,165.70591,255.41216,-0.5667,253.70428,-14.80359
AR,1467837.274,-694,9,20,18.58132,356.66819,-3.49064,170.045,274.96309,-0.5667,98.42146,-6.0724
CS,1467847.723,-694,10,1,5.34099,353.04578,-2.91392,180.51844,83.94837,-0.5667,265.83984,-7.22582
EL,1468137.342,-693,7,17,20.20915,124.01564,1.14838,106.11654,114.72245,-0.5667,127.48679,-13.28653
MF,1468237.711,-693,10,26,5.07578,191.46405,0.51536,205.54728,274.47927,-0.5667,273.00527,-14.58361
AR,1468611.241,-692,11,2,17.7813,45.93442,0.84099,213.97869,248.86963,-0.5667,78.63314,-6.4102
CS,1468625.749,-692,11,17,5.96452,40.29328,1.424,228.7777,109.72108,-0.5667,286.25024,-7.30808
EL,1468897.329,-691,8,15,19.88667,155.77459,0.76547,134.76217,102.3427,-0.5667,119.20068,-13.34574
MF,1469027.743,-691,12,24,5.84295,250.41687,-0.58262,266.26901,296.68705,-0.5667,289.17627,-14.58392
AR,1469378.231,-690,12,9,17.5452,83.32708,3.39527,251.24262,237.52916,-0.5667,67.77367,-6.70545
CS,1469393.773,-690,12,25,6.56248,77.20242,3.7456,267.07674,122.32496,-0.5667,294.12855,-6.09995
EL,1469670.292,-689,9,27,19.00431,199.06789,-0.104,176.86748,81.37407,-0.5667,99.75441,-13.2712
MF,1469879.681,-688,4,24,4.34569,359.75889,-0.86971,26.05756,270.70087,-0.5667,248.17729,-14.58721
AR,1470144.24,-687,1,13,17.7642,116.62205,4.54588,287.31522,239.27106,-0.5667,67.1871,-6.11571
CS,1470161.772,-687,1,31,6.53537,109.8451,4.57272,304.91862,122.23395,-0.5667,288.38528,-6.96514
EL,1470494.258,-687,12,29,18.19629,286.69543,-1.12215,271.91072,62.19511,-0.5667,70.01707,-13.20681
MF,1470651.65,-686,6,5,3.60328,42.94311,-0.01202,65.58533,250.91568,-0.5667,232.9783,-14.64813
AR,1470911.26,-685,2,19,18.25179,151.73835,4.26781,323.80561,252.04649,-0.5667,77.75355,-6.40325
CS,1470929.751,-685,3,10,6.01309,144.83958,3.89582,341.97359,110.46095,-0.5667,274.39958,-6.60181
EL,1471298.293,-684,3,12,19.02664,358.16705,-0.42474,345.1912,89.02495,-0.5667,91.16151,-13.37575
MF,1471410.648,-684,7,3,3.54626,74.5054,0.67176,92.78969,241.78313,-0.5667,229.89097,-14.58548
AR,1471686.279,-683,4,4,18.69068,194.48343,1.80606,7.23208,274.48082,-0.5667,97.30691,-6.35209
CS,1471702.711,-683,4,21,5.0603,188.84732,1.02232,23.01644,87.28271,-0.5667,255.08387,-6.75552
EL,1472077.314,-682,4,30,19.54114,45.26163,0.4905,31.96198,110.48856,-0.5667,113.70394,-13.4887
MF,1472169.661,-682,8,1,3.86256,104.85702,1.09558,120.28301,241.18061,-0.5667,234.63906,-14.61339
AR,1472483.308,-681,6,10,19.38116,255.89606,-4.63667,70.76405,302.42863,-0.5667,120.87837,-6.17006
CS,1472491.679,-681,6,19,4.286,253.61734,-5.10142,78.74304,57.33863,-0.5667,237.57323,-6.65639
EL,1472844.334,-680,6,5,20.01925,81.27424,1.03925,66.74872,119.42779,-0.5667,126.21237,-13.48599
MF,1472932.681,-680,9,2,4.35585,137.7282,1.1718,152.15019,249.82175,-0.5667,247.17646,-14.79704
AR,1473293.295,-679,8,28,19.07673,332.19556,-5.4976,147.58039,288.38733,-0.5667,108.93,-6.58625
CS,1473301.712,-679,9,6,5.0807,329.55953,-5.08961,155.90335,70.92113,-0.5667,254.66577,-6.64981
EL,1473605.343,-678,7,6,20.22272,112.60026,1.19089,95.89465,117.60794,-0.5667,128.64677,-13.25059
MF,1473699.703,-678,10,9,4.86774,174.67022,0.8001,188.6718,266.28865,-0.5667,265.1898,-14.54852
AR,1474074.252,-677,10,18,18.04898,29.05958,-0.62883,198.08975,257.09975,-0.5667,85.51827,-6.51412
CS,1474087.739,-677,11,1,5.73799,23.93545,0.00777,211.79109,101.38681,-0.5667,280.02575,-7.17072
EL,1474364.335,-676,8,3,20.05184,143.18042,0.96147,123.40766,107.84746,-0.5667,123.17839,-13.26441
MF,1474478.729,-676,11,26,5.49699,223.43984,-0.09813,238.06171,288.66547,-0.5667,284.76793,-14.67217
AR,1474843.232,-675,11,25,17.56588,69.77418,2.592,237.30337,240.23974,-0.5667,70.77972,-6.60948
CS,1474858.764,-675,12,11,6.33621,63.65813,3.04571,253.163,118.99967,-0.5667,292.39488,-6.92377
