Venus,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1453173.5,1453173.564,1453173.688,-734,7,29,4.50167,111.24834,1.09377,116.96194,241.49482,-0.5667,239.78118,-6.12667
EF,1453227.5,1453228.151,1453228.275,-734,9,21,18.59306,179.45734,0.94429,170.7086,91.66913,-0.5667,98.53843,-6.08336
EL,1453484.5,1453485.185,1453485.308,-733,6,5,19.39472,72.48336,-1.52476,65.56703,115.94744,-0.5667,120.63537,-5.88253
MF,1453497.5,1453497.553,1453497.676,-733,6,18,4.22556,65.14045,-4.11909,77.34567,248.61075,-0.5667,236.99406,-6.16167
ML,1453745.5,1453745.644,1453745.767,-732,2,21,6.41278,313.9594,-1.33749,324.65903,291.49747,-0.5667,282.1905,-6.04259
EF,1453807.5,1453808.164,1453808.287,-732,4,23,18.8925,31.01306,-0.32299,25.30341,104.42155,-0.5667,106.08465,-6.03932
EL,1454075.5,1454076.112,1454076.236,-731,1,16,17.65333,291.62986,7.39077,289.97428,72.68495,-0.5667,66.7206,-5.24507
MF,1454662.5,1454662.578,1454662.701,-730,8,26,4.83306,134.97431,-8.62148,144.36406,259.63227,-0.5667,248.63587,-7.01401
ML,1454908.5,1454908.581,1454908.705,-729,4,29,4.91667,18.27886,-1.11085,29.79391,262.14579,-0.5667,251.91672,-6.00767
EF,1454972.5,1454973.194,1454973.318,-729,7,2,19.62972,97.65354,1.14128,91.37395,120.44216,-0.5667,123.71159,-6.05171
EL,1455240.5,1455241.151,1455241.274,-728,3,26,18.58528,2.70093,6.93303,358.40137,99.28236,-0.5667,93.17021,-5.9754
MF,1455243.5,1455243.611,1455243.735,-728,3,29,5.63111,1.15301,6.62054,0.78102,261.8112,-0.5667,265.68833,-5.95158
ML,1455509.5,1455509.651,1455509.774,-728,12,20,6.57778,255.42633,-0.34734,262.18778,297.86043,-0.5667,294.15364,-6.2374
EF,1455562.5,1455563.13,1455563.254,-727,2,11,18.09389,322.23048,-1.41567,316.01835,71.57109,-0.5667,74.58047,-6.18535
EL,1455815.5,1455816.122,1455816.246,-727,10,22,17.89333,218.48705,-5.15204,202.25884,66.98005,-0.5667,83.22064,-5.7048
MF,1455830.5,1455830.623,1455830.746,-727,11,6,5.90528,210.4691,-2.04978,217.00962,286.09833,-0.5667,282.58944,-6.45793
ML,1456093.5,1456093.564,1456093.687,-726,7,27,4.48694,109.45649,1.06528,115.09835,241.1888,-0.5667,239.40598,-6.0253
EF,1456146.5,1456147.154,1456147.277,-726,9,18,18.65694,176.38637,1.00486,167.78329,93.21789,-0.5667,99.93198,-6.055
EL,1456404.5,1456405.183,1456405.306,-725,6,3,19.35139,70.16189,-1.27744,63.73204,115.84971,-0.5667,119.99827,-5.64798
MF,1456417.5,1456417.552,1456417.675,-725,6,16,4.20278,62.83974,-3.8918,75.50855,248.86109,-0.5667,236.97988,-6.47384
ML,1456665.5,1456665.645,1456665.768,-724,2,19,6.44361,312.15693,-1.3197,322.74656,292.1131,-0.5667,282.94477,-6.05758
EF,1456727.5,1456728.163,1456728.287,-724,4,21,18.87694,29.2378,-0.36503,23.45638,103.6079,-0.5667,105.28653,-6.11212
EL,1456994.5,1456995.114,1456995.237,-723,1,13,17.68639,289.62706,7.10733,287.01489,71.99569,-0.5667,66.78381,-6.06678
MF,1456997.5,1456997.655,1456997.779,-723,1,16,6.6875,288.03401,7.45506,289.57651,287.84479,-0.5667,292.37639,-6.69128
ML,1457261.5,1457261.606,1457261.729,-723,10,7,5.50222,181.18149,1.22197,186.58328,268.8589,-0.5667,269.16353,-6.09623
EF,1457318.5,1457319.103,1457319.226,-723,12,3,17.43583,253.55923,-0.78435,245.09741,61.87773,-0.5667,68.31061,-6.13496
EL,1457563.5,1457564.187,1457564.31,-722,8,5,19.44861,142.43756,-7.37231,124.4634,99.07635,-0.5667,117.78606,-5.75178
MF,1457581.5,1457581.58,1457581.703,-722,8,23,4.87556,132.99183,-8.66704,141.473,259.02148,-0.5667,248.18963,-6.01141
ML,1457827.5,1457827.584,1457827.707,-721,4,26,4.97972,15.27916,-1.16419,26.99097,263.60342,-0.5667,253.15829,-6.03
EF,1457892.5,1457893.194,1457893.318,-721,6,30,19.62917,95.86133,1.1153,89.51875,120.52018,-0.5667,123.77649,-6.12621
EL,1458160.5,1458161.149,1458161.272,-720,3,24,18.52833,0.33502,7.0847,356.52272,98.30266,-0.5667,91.95362,-5.51451
MF,1458163.5,1458163.612,1458163.735,-720,3,27,5.64556,358.77799,6.78017,358.90692,262.78451,-0.5667,266.3352,-6.34913
ML,1458429.5,1458429.65,1458429.773,-720,12,18,6.55861,253.58166,-0.30507,260.20099,297.53377,-0.5667,294.01881,-6.18862
EF,1458481.5,1458482.128,1458482.252,-719,2,8,18.03833,319.17042,-1.42603,313.09338,70.35399,-0.5667,73.42839,-6.00201
EL,1458734.5,1458735.124,1458735.248,-719,10,19,17.94694,216.17592,-5.5176,199.26491,67.51875,-0.5667,84.56457,-5.66928
MF,1458750.5,1458750.619,1458750.742,-719,11,4,5.81361,207.68857,-2.31616,215.01532,285.17955,-0.5667,281.30203,-7.20503
ML,1459012.5,1459012.562,1459012.685,-718,7,24,4.44,106.40471,1.00873,112.24655,240.7439,-0.5667,238.67854,-6.12487
EF,1459065.5,1459066.157,1459066.28,-718,9,15,18.71972,173.29836,1.06194,164.84114,94.768,-0.5667,101.32453,-6.02848
EL,1459324.5,1459325.181,1459325.304,-717,6,1,19.305,67.82,-1.02839,61.88089,115.70357,-0.5667,119.31843,-5.39399
MF,1459336.5,1459336.554,1459336.678,-717,6,13,4.265,61.0332,-3.48614,72.70758,248.81407,-0.5667,237.86953,-5.94902
ML,1459585.5,1459585.646,1459585.77,-716,2,17,6.47194,310.33705,-1.30075,320.81493,292.7169,-0.5667,283.69095,-6.07382
EF,1459647.5,1459648.162,1459648.286,-716,4,19,18.86056,27.44477,-0.40676,21.59121,102.7786,-0.5667,104.47317,-6.1854
EL,1459914.5,1459915.11,1459915.234,-715,1,11,17.61083,286.96909,6.95949,285.03913,71.39524,-0.5667,66.10896,-5.49535
MF,1460501.5,1460501.577,1460501.7,-714,8,21,4.80889,130.46315,-8.64017,139.56046,258.16818,-0.5667,247.08577,-6.44321
ML,1460746.5,1460746.587,1460746.71,-713,4,23,5.04361,12.27536,-1.21373,24.18056,265.07164,-0.5667,254.41783,-6.05755
EF,1460812.5,1460813.194,1460813.318,-713,6,28,19.6275,94.06721,1.08828,87.6635,120.57793,-0.5667,123.81844,-6.19974
EL,1461079.5,1461080.151,1461080.274,-712,3,21,18.58583,358.57599,7.32697,353.67478,97.71783,-0.5667,91.3108,-6.62686
MF,1461082.5,1461082.616,1461082.739,-712,3,24,5.74389,357.02441,7.06384,356.06387,263.31941,-0.5667,267.95323,-5.99164
ML,1461349.5,1461349.649,1461349.772,-712,12,16,6.54,251.74538,-0.26252,258.22365,297.18869,-0.5667,293.86222,-6.13606
EF,1461401.5,1461402.127,1461402.251,-711,2,6,18.01833,317.35845,-1.4303,311.16326,69.65183,-0.5667,72.8208,-6.08189
EL,1461653.5,1461654.127,1461654.25,-711,10,16,18.00417,213.88,-5.85846,196.28918,68.10062,-0.5667,85.93188,-5.65317
MF,1461669.5,1461669.62,1461669.743,-711,11,1,5.84,205.50634,-2.83491,212.02714,284.78968,-0.5667,280.63167,-6.33829
ML,1461932.5,1461932.561,1461932.684,-710,7,22,4.4275,104.6125,0.97739,110.38122,240.51437,-0.5667,238.38048,-6.01602
EF,1461984.5,1461985.159,1461985.283,-710,9,12,18.7825,170.22597,1.11533,161.91879,96.30118,-0.5667,102.69522,-6.00048
EL,1462243.5,1462244.184,1462244.307,-709,5,29,19.37944,66.08184,-0.54549,59.09791,115.93137,-0.5667,119.52586,-6.58445
MF,1462256.5,1462256.553,1462256.677,-709,6,11,4.24528,58.73838,-3.25094,70.87294,249.12504,-0.5667,237.91836,-6.27825
ML,1462505.5,1462505.647,1462505.771,-708,2,15,6.50028,308.53879,-1.28067,318.90798,293.29249,-0.5667,284.40821,-6.09303
EF,1462567.5,1462568.162,1462568.285,-708,4,17,18.84583,25.67214,-0.44813,19.74699,101.94883,-0.5667,103.66077,-6.25788
EL,1462833.5,1462834.112,1462834.235,-707,1,8,17.64139,284.94213,6.63765,282.0752,70.7253,-0.5667,66.24989,-6.24991
MF,1462836.5,1462836.657,1462836.781,-707,1,11,6.73694,283.35473,7.0366,284.64813,288.98875,-0.5667,293.5392,-6.09459
ML,1463100.5,1463100.603,1463100.726,-707,10,2,5.43333,176.24314,1.28187,181.65522,266.40944,-0.5667,266.76311,-6.11687
EF,1463157.5,1463158.104,1463158.227,-707,11,28,17.44639,248.62178,-0.67465,240.09749,62.88384,-0.5667,69.45439,-6.05492
EL,1463403.5,1463404.188,1463404.311,-706,8,1,19.47444,137.57587,-7.19186,120.70395,101.09313,-0.5667,118.73389,-5.54378
