Mercury,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long M,lat M,Long Sun,azm M,alt  M,azm S,alt Sun
EL,1433964.252,-787,12,24,18.05028,278.17355,1.9591,266.1106,64.90545,-0.5667,69.34873,-11.9621
MF,1433976.75,-786,1,6,6.00722,265.51788,3.6184,278.78265,293.31887,-0.5667,289.37354,-13.74088
ML,1434021.753,-786,2,20,6.07889,307.04491,-2.17403,323.79092,294.25913,-0.5667,280.16081,-9.96859
EF,1434049.288,-786,3,19,18.90694,1.33855,0.67712,350.74562,91.69961,-0.5667,92.41929,-11.1569
EL,1434083.305,-786,4,22,19.32194,35.22594,0.66931,23.51264,106.89308,-0.5667,108.83686,-12.13926
ML,1434131.668,-786,6,10,4.03139,55.49613,-0.37753,69.58991,247.18839,-0.5667,236.43999,-9.75559
EF,1434156.332,-786,7,4,19.97083,105.34178,1.71956,93.1467,119.52744,-0.5667,126.48365,-10.75714
EL,1434198.323,-786,8,15,19.74111,157.1529,-3.54716,133.79893,97.04288,-0.5667,118.104,-11.52466
MF,1434220.688,-786,9,7,4.51806,142.45555,-0.26694,155.84321,253.23274,-0.5667,249.85289,-13.53198
ML,1434247.716,-786,10,4,5.18222,173.89196,1.45114,182.87542,265.22327,-0.5667,265.45793,-9.66267
EF,1434293.248,-786,11,18,17.95528,245.6038,-2.20865,229.13881,62.3186,-0.5667,75.58686,-10.66375
EL,1434313.246,-786,12,8,17.91167,261.93898,1.15269,249.5621,63.92955,-0.5667,70.62,-11.0701
MF,1434325.742,-786,12,21,5.81722,248.6019,3.50492,262.2962,291.5308,-0.5667,289.04427,-14.47849
ML,1434371.762,-785,2,5,6.29333,293.9852,-2.04124,308.69116,297.5719,-0.5667,285.72525,-9.58861
EF,1434398.28,-785,3,3,18.71417,345.12159,0.14715,334.8969,83.54699,-0.5667,84.88839,-10.70517
EL,1434429.294,-785,4,3,19.04806,15.44788,2.1197,5.03417,99.85433,-0.5667,99.32117,-11.17841
ML,1434478.677,-785,5,23,4.23611,35.76827,-1.29155,52.23674,255.0753,-0.5667,241.21747,-9.66268
EF,1434504.33,-785,6,17,19.90861,88.33533,1.87774,76.66091,120.82066,-0.5667,126.01372,-11.20457
EL,1434548.33,-785,7,31,19.93111,140.71473,-3.74158,118.94655,103.54657,-0.5667,122.91181,-11.40278
MF,1434570.677,-785,8,23,4.23889,126.1799,-0.81996,140.77173,248.19645,-0.5667,242.62293,-14.10077
ML,1434593.704,-785,9,15,4.90556,154.22905,1.81728,163.57414,255.82228,-0.5667,255.9196,-10.08482
EF,1434642.256,-785,11,2,18.13889,230.78346,-2.33725,212.5772,66.24469,-0.5667,81.68296,-10.63217
EL,1434660.251,-785,11,20,18.02,246.67429,-0.34386,230.93489,64.30313,-0.5667,75.57589,-11.63987
MF,1434674.734,-785,12,5,5.62056,232.15521,3.23199,245.7302,287.79498,-0.5667,286.71902,-14.47346
ML,1434719.764,-784,1,19,6.33306,277.80106,-1.79888,291.42869,299.65275,-0.5667,289.73599,-10.13937
EF,1434748.275,-784,2,16,18.60417,330.94336,-0.20886,319.879,76.87838,-0.5667,79.16864,-11.39678
EL,1434774.289,-784,3,13,18.94167,356.78816,3.26824,345.41651,92.32739,-0.5667,90.5857,-12.26586
ML,1434825.69,-784,5,4,4.5525,16.28467,-2.00527,34.87917,264.21741,-0.5667,247.82509,-9.71434
EF,1434852.32,-784,5,30,19.69083,70.89988,1.86034,60.23135,119.09553,-0.5667,122.27567,-10.92307
EL,1434897.336,-784,7,14,20.06528,123.36728,-3.74263,103.25083,109.22551,-0.5667,126.49041,-11.7214
MF,1434919.669,-784,8,6,4.04861,109.86441,-1.62632,124.87167,245.22104,-0.5667,237.17661,-13.38557
ML,1434941.696,-784,8,28,4.69917,137.46947,1.87274,146.46719,248.91937,-0.5667,248.38098,-9.74005
EF,1434990.268,-784,10,15,18.43,214.80199,-2.34746,195.07374,72.13058,-0.5667,89.36299,-10.62463
EL,1435007.258,-784,11,1,18.20278,230.81466,-1.61543,212.33497,67.06591,-0.5667,82.22959,-11.39689
MF,1435023.727,-784,11,18,5.44,216.04694,2.79438,229.13817,282.65626,-0.5667,282.53666,-13.94722
ML,1435068.764,-783,1,2,6.33917,263.52705,-1.55558,275.02972,299.4461,-0.5667,292.01655,-9.51326
EF,1435097.266,-783,1,30,18.38889,314.89349,-0.73656,303.71947,70.00627,-0.5667,73.70969,-11.14317
EL,1435121.281,-783,2,23,18.73972,338.56838,3.62991,327.5433,84.35979,-0.5667,82.54746,-12.02671
