Mercury,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
ML,1432518.5,1432518.645,1432518.768,-790,1,9,6.4311,269.22621,-1.65206,281.76668,300.50829,-0.5667,291.60527,-9.59303
EF,1432546.5,1432547.144,1432547.267,-790,2,6,18.41374,321.30211,-0.54495,310.35811,72.19512,-0.5667,75.67941,-10.96288
EL,1432571.5,1432572.16,1432572.284,-790,3,3,18.80999,346.10694,3.53826,335.06834,87.61491,-0.5667,86.12176,-12.05668
ML,1432622.5,1432622.575,1432622.698,-790,4,23,4.76027,3.44174,-2.39212,23.82208,270.58711,-0.5667,252.0462,-9.53752
EF,1432650.5,1432651.195,1432651.319,-790,5,21,19.64643,61.46978,1.78793,51.10599,117.6896,-0.5667,120.4584,-10.7155
EL,1432695.5,1432696.216,1432696.34,-790,7,5,20.14883,112.92408,-3.6612,94.04302,112.35649,-0.5667,128.44774,-11.24412
MF,1432719.5,1432719.536,1432719.659,-790,7,29,3.81545,100.41098,-1.79272,116.51795,243.45464,-0.5667,233.24538,-13.22681
ML,1432739.5,1432739.561,1432739.685,-790,8,18,4.42842,126.46526,1.80958,136.03361,244.58239,-0.5667,242.74144,-10.12942
EF,1432791.5,1432792.15,1432792.274,-790,10,9,18.56687,209.98447,-2.50498,188.4039,73.59372,-0.5667,92.95961,-10.62882
EL,1432801.5,1432802.143,1432802.267,-790,10,19,18.39623,219.95159,-2.48447,198.52009,69.46741,-0.5667,88.42572,-11.08049
MF,1432822.5,1432822.601,1432822.725,-790,11,9,5.38973,206.88054,2.44387,219.33582,279.4918,-0.5667,279.1794,-13.25197
ML,1432865.5,1432865.638,1432865.761,-790,12,22,6.27031,251.87429,-1.223,263.25414,298.40208,-0.5667,291.80698,-9.94465
EF,1432895.5,1432896.134,1432896.257,-789,1,21,18.17371,305.3597,-1.0392,294.10205,65.97869,-0.5667,71.06557,-10.67814
EL,1432919.5,1432920.148,1432920.272,-789,2,14,18.52511,328.01498,3.68139,318.06,79.72285,-0.5667,78.47471,-11.10141
MF,1432938.5,1432938.611,1432938.734,-789,3,5,5.62001,316.41957,0.85307,336.24708,288.06042,-0.5667,272.60927,-13.19744
ML,1432971.5,1432971.591,1432971.714,-789,4,7,5.14627,347.68227,-2.46007,8.25575,278.24585,-0.5667,259.52265,-9.62391
EF,1433000.5,1433001.189,1433001.313,-789,5,6,19.50954,47.63642,1.68362,36.58768,113.28512,-0.5667,115.35163,-11.55144
EL,1433043.5,1433044.214,1433044.337,-789,6,18,20.0953,94.31713,-3.23489,77.55326,115.17727,-0.5667,128.17897,-11.73106
MF,1433070.5,1433070.527,1433070.651,-789,7,15,3.61733,84.75417,-1.88658,102.75297,243.19066,-0.5667,230.23266,-13.32083
ML,1433087.5,1433087.55,1433087.673,-789,8,1,4.15204,109.02758,1.5303,119.20248,240.52336,-0.5667,236.8735,-10.1934
EF,1433133.5,1433134.172,1433134.295,-789,9,16,19.08569,186.60166,-1.86462,165.0883,85.1461,-0.5667,104.40809,-10.54572
EL,1433145.5,1433146.162,1433146.285,-789,9,28,18.85136,200.60695,-2.82096,177.09212,77.45899,-0.5667,98.82572,-11.05253
MF,1433172.5,1433172.589,1433172.713,-789,10,25,5.10261,190.41359,1.95065,203.80746,272.48984,-0.5667,272.05397,-14.09242
ML,1433212.5,1433212.63,1433212.753,-789,12,4,6.07179,234.77649,-0.72378,244.64996,293.68779,-0.5667,289.40897,-9.50395
EF,1433245.5,1433246.128,1433246.251,-788,1,6,18.03429,291.41192,-1.34325,278.72962,62.05778,-0.5667,69.13291,-11.20776
EL,1433267.5,1433268.139,1433268.262,-788,1,28,18.29133,310.74533,3.45959,300.88137,72.98857,-0.5667,72.89305,-11.01366
MF,1433282.5,1433282.624,1433282.748,-788,2,12,5.9436,298.93823,2.58971,315.32016,291.47852,-0.5667,281.01805,-13.51264
ML,1433321.5,1433321.607,1433321.73,-788,3,22,5.52011,333.83956,-2.39082,353.5472,284.58931,-0.5667,266.80705,-9.55626
EF,1433349.5,1433350.179,1433350.303,-788,4,19,19.26256,31.59142,1.38669,21.06417,106.61217,-0.5667,107.82325,-11.11548
EL,1433391.5,1433392.203,1433392.326,-788,5,31,19.83025,74.75893,-2.58415,61.11614,114.99474,-0.5667,124.06857,-11.12304
MF,1433423.5,1433423.524,1433423.648,-788,7,2,3.54241,71.95536,-1.4543,90.9953,244.04418,-0.5667,229.5279,-13.12507
ML,1433436.5,1433436.544,1433436.667,-788,7,15,4.00956,93.238,1.17228,103.49763,239.27564,-0.5667,234.10271,-9.51781
EF,1433469.5,1433470.197,1433470.321,-788,8,17,19.69624,154.08293,-0.02974,136.18174,102.53203,-0.5667,117.51218,-10.50258
EL,1433495.5,1433496.177,1433496.3,-788,9,12,19.21063,186.33561,-2.99656,161.85935,84.03259,-0.5667,106.4391,-11.16077
MF,1433521.5,1433521.582,1433521.706,-788,10,8,4.93963,174.64152,1.17801,187.34636,265.75009,-0.5667,264.7296,-13.28503
ML,1433557.5,1433557.617,1433557.74,-788,11,13,5.75863,214.68989,0.03436,223.9649,285.5249,-0.5667,283.24683,-9.56051
EF,1433594.5,1433595.121,1433595.244,-788,12,20,17.86351,275.86121,-1.71751,262.23633,59.57227,-0.5667,68.79622,-10.78996
EL,1433615.5,1433616.131,1433616.254,-787,1,10,18.10642,294.20922,2.86597,283.54023,67.75387,-0.5667,69.75936,-11.42856
MF,1433628.5,1433628.632,1433628.755,-787,1,23,6.12667,282.36977,3.44237,296.12192,293.48708,-0.5667,286.94181,-13.16404
ML,1433671.5,1433671.621,1433671.744,-787,3,7,5.86245,320.27851,-2.29265,338.71672,290.22127,-0.5667,273.86543,-9.52008
EF,1433698.5,1433699.169,1433699.293,-787,4,3,19.02905,15.42049,0.97623,5.4551,98.83241,-0.5667,99.73292,-10.53922
EL,1433737.5,1433738.193,1433738.317,-787,5,12,19.59625,55.02905,-1.16375,42.79611,112.32554,-0.5667,117.95143,-11.51097
ML,1433783.5,1433783.538,1433783.661,-787,6,27,3.86343,73.37216,0.36754,85.998,241.56233,-0.5667,232.92935,-9.82922
EF,1433811.5,1433812.211,1433812.335,-787,7,25,20.03692,128.72716,1.09623,113.56771,113.83454,-0.5667,125.15648,-10.78438
EL,1433846.5,1433847.19,1433847.313,-787,8,29,19.51852,172.25743,-3.25231,147.7528,90.53393,-0.5667,113.04029,-11.08369
MF,1433871.5,1433871.571,1433871.694,-787,9,23,4.66269,158.38905,0.59977,172.00671,258.70818,-0.5667,256.49983,-14.02101
ML,1433901.5,1433901.602,1433901.725,-787,10,23,5.40996,192.90402,0.90441,202.3163,274.82021,-0.5667,274.03265,-9.98944
EF,1433944.5,1433945.12,1433945.244,-787,12,5,17.84554,262.14649,-1.94885,246.69835,59.41542,-0.5667,71.07728,-10.96429
EL,1433963.5,1433964.126,1433964.249,-787,12,24,17.97516,278.19631,1.94583,266.06643,64.28009,-0.5667,69.23737,-11.82086
MF,1433976.5,1433976.63,1433976.754,-786,1,6,6.08461,265.54614,3.62143,278.74512,293.87668,-0.5667,289.43356,-13.51805
ML,1434020.5,1434020.632,1434020.755,-786,2,19,6.12439,305.29076,-2.15897,322.76555,295.37967,-0.5667,280.42337,-9.97977
EF,1434048.5,1434049.164,1434049.288,-786,3,19,18.9082,1.25658,0.66965,350.7065,91.71309,-0.5667,92.8279,-11.0796
EL,1434082.5,1434083.184,1434083.307,-786,4,22,19.37687,35.23574,0.67899,23.47626,107.341,-0.5667,109.7403,-12.10244
ML,1434130.5,1434130.541,1434130.664,-786,6,9,3.93443,53.54485,-0.58862,68.59483,247.4419,-0.5667,235.38219,-9.67037
