Jupiter,Alexandria,,,,,,,,,,,
Modern,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
EL,1442082.283,-764,3,16,18.79944,358.77408,-1.15711,348.48379,88.18362,0,90.67698,-10.05294
MF,1442122.696,-764,4,26,4.69333,8.26404,-1.13818,27.40421,267.33323,0,250.89238,-10.0029
AR,1442294.251,-764,10,14,18.02333,21.04654,-1.44256,194.18242,261.81366,0,86.51556,-5.20963
CS,1442304.741,-764,10,25,5.79194,19.61974,-1.42473,204.82239,97.56883,0,278.16345,-5.3609
EL,1442483.3,-763,4,21,19.19444,34.01813,-0.72333,22.96723,104.49737,0,107.53518,-10.65446
MF,1442521.671,-763,5,30,4.09833,42.79941,-0.66847,59.54231,252.06471,0,238.61594,-10.08808
AR,1442693.23,-763,11,17,17.50944,55.43554,-0.56817,228.51631,247.80536,0,72.51069,-5.11033
CS,1442703.762,-763,11,28,6.29667,54.00967,-0.5419,239.277,111.80612,0,290.62946,-5.16302
EL,1442883.317,-762,5,26,19.59889,67.69227,-0.05533,56.11996,115.80386,0,120.69924,-10.49885
MF,1442917.665,-762,6,30,3.9575,75.34464,0.00501,88.86468,242.847,0,233.9529,-10.22396
AR,1443090.228,-762,12,19,17.47889,88.07095,0.43983,260.9292,241.34443,0,65.86069,-5.55557
CS,1443102.777,-761,1,1,6.64056,86.40212,0.47035,273.67755,118.64937,0,294.27516,-5.83819
EL,1443280.33,-761,6,27,19.91528,99.39512,0.60353,86.39478,118.45842,0,126.21406,-10.48286
MF,1443312.677,-761,7,30,4.24222,106.46024,0.65055,117.52212,242.329,0,237.79064,-10.11935
AR,1443487.24,-760,1,20,17.755,119.11259,1.27331,293.08502,244.1707,0,67.59173,-5.12589
CS,1443500.777,-760,2,3,6.63833,117.34732,1.29515,306.64545,116.29333,0,288.72657,-5.57161
EL,1443675.328,-760,7,26,19.87417,129.76866,1.07147,115.01295,112.4839,0,123.06972,-10.3937
MF,1443708.694,-760,8,29,4.6475,136.9972,1.09653,147.62881,249.99766,0,248.29978,-10.55318
AR,1443883.257,-759,2,19,18.15944,149.44998,1.73268,323.75115,254.2199,0,77.03646,-5.24959
CS,1443898.756,-759,3,7,6.15583,147.4705,1.73825,338.97935,106.61436,0,276.37273,-5.55636
EL,1444070.31,-759,8,25,19.43861,159.80555,1.24081,144.04797,100.71512,0,112.91905,-10.12042
MF,1444103.711,-759,9,28,5.065,167.08495,1.23624,177.28054,262.61924,0,262.38459,-10.26683
AR,1444279.271,-758,3,22,18.51194,179.83021,1.72175,353.85668,268.07755,0,90.56045,-5.7002
CS,1444295.728,-758,4,8,5.46972,177.75147,1.7068,9.75171,92.88689,0,262.05392,-5.46627
EL,1444465.285,-758,9,24,18.84139,190.11394,1.06903,173.59511,86.39749,0,99.42074,-10.30616
MF,1444499.726,-758,10,29,5.42028,197.7593,1.03457,208.40662,277.15166,0,276.54552,-10.67991
AR,1444677.282,-757,4,24,18.77333,210.87286,1.22372,25.3905,282.65476,0,104.92388,-5.13947
CS,1444691.702,-757,5,9,4.85056,209.05103,1.19516,39.15004,78.07543,0,249.295,-5.1493
EL,1444863.258,-757,10,27,18.1825,221.93476,0.57775,206.66541,72.28134,0,83.8372,-10.06584
MF,1444895.745,-757,11,29,5.89139,229.34797,0.52488,239.80837,290.36251,0,287.78958,-10.15588
AR,1445076.298,-756,5,27,19.15333,243.43944,0.32459,57.56682,294.56605,0,117.12476,-5.29758
CS,1445088.686,-756,6,9,4.46444,241.8572,0.2922,69.35769,65.77227,0,240.21943,-5.0585
EL,1445263.243,-756,11,30,17.83417,255.50165,-0.11692,242.10469,62.69357,0,71.59098,-10.05704
MF,1445295.762,-755,1,2,6.28111,263.13256,-0.17591,275.21901,298.13064,0,291.6022,-10.19527
AR,1445477.31,-755,7,2,19.44583,277.76071,-0.73942,91.6858,298.75331,0,121.92946,-5.23349
CS,1445488.686,-755,7,14,4.46833,276.28245,-0.76783,102.60452,61.11489,0,238.41264,-5.76873
EL,1445664.252,-754,1,5,18.04639,290.66667,-0.79469,278.50248,62.86773,0,68.855,-10.63745
MF,1445700.757,-754,2,11,6.17278,299.38123,-0.84735,315.11453,295.25952,0,283.22065,-10.23977
AR,1445879.304,-754,8,8,19.295,313.64736,-1.57619,127.17237,291.75001,0,115.73166,-5.34714
CS,1445889.706,-754,8,19,4.94194,312.2644,-1.59069,137.34681,67.7542,0,247.82648,-5.32441
EL,1446067.27,-753,2,12,18.47917,327.20542,-1.18751,316.38058,73.88537,0,77.28855,-10.34965
MF,1446107.726,-753,3,25,5.42056,336.85047,-1.20983,356.02668,282.00277,0,265.64174,-10.21317
AR,1446281.278,-753,9,14,18.66389,350.11808,-1.80952,163.37639,276.58554,0,101.08147,-5.34367
CS,1446291.725,-753,9,25,5.41083,348.70553,-1.80571,173.8173,82.75924,0,263.83594,-5.31284
EL,1446470.285,-752,3,21,18.84778,3.72258,-1.12061,353.41966,90.55514,0,93.02221,-10.0682
MF,1446510.691,-752,5,1,4.57917,13.1897,-1.09558,32.25988,265.00113,0,248.69069,-10.07775
AR,1446681.249,-752,10,18,17.98194,26.01118,-1.34706,198.31259,259.53566,0,84.91376,-5.67828
CS,1446692.743,-752,10,30,5.83417,24.44744,-1.32589,209.9932,99.80989,0,280.16854,-5.69033
EL,1446871.302,-751,4,26,19.24306,38.85411,-0.64024,27.83472,106.49342,0,109.69971,-10.56733
MF,1446909.667,-751,6,4,4.01389,47.60648,-0.5823,64.3762,250.27971,0,237.05418,-10.42007
AR,1447080.23,-751,11,21,17.50972,60.2003,-0.43111,232.6805,246.34579,0,71.45537,-5.54128
CS,1447091.764,-751,12,3,6.33472,58.6435,-0.40181,244.4591,113.28125,0,291.61123,-5.58587
EL,1447271.318,-750,5,31,19.63639,72.38617,0.04158,60.96473,116.76369,0,121.89019,-10.22005
MF,1447304.666,-750,7,4,3.98417,79.79933,0.09997,92.78343,242.22132,0,234.06228,-10.13527
AR,1447478.228,-750,12,24,17.46278,92.51241,0.57266,266.08937,241.1927,0,65.22904,-5.03308
CS,1447489.78,-749,1,5,6.71528,90.97722,0.59996,277.81344,118.86567,0,294.43204,-5.24309
EL,1447668.329,-749,7,2,19.89694,103.96613,0.6837,91.2692,118.06293,0,125.89376,-10.04891
MF,1447700.678,-749,8,4,4.26361,111.02098,0.72869,122.46573,243.01008,0,238.73998,-10.65284
AR,1447874.243,-748,1,24,17.84,123.54155,1.36159,297.19177,245.26473,0,68.71272,-5.50582
CS,1447887.777,-748,2,7,6.64,121.78211,1.38194,310.71202,115.2531,0,287.7656,-5.07165
EL,1448062.327,-748,7,30,19.84111,134.04846,1.11424,118.97204,111.0842,0,122.08417,-10.43339
MF,1448095.697,-748,9,2,4.72028,141.27664,1.13515,151.66638,251.56766,0,250.21983,-10.36457
AR,1448270.26,-747,2,23,18.23639,153.82451,1.75946,327.7827,256.0658,0,78.87744,-5.63097
CS,1448285.754,-747,3,11,6.10111,151.84685,1.76297,342.97743,104.79428,0,274.78657,-5.20387
EL,1448457.307,-747,8,29,19.36639,164.07742,1.23713,148.08273,98.76953,0,111.23338,-10.1792
MF,1448490.714,-747,10,2,5.12889,171.36927,1.22811,181.39713,264.62385,0,264.47431,-10.10092
AR,1448667.271,-746,3,27,18.51028,184.13295,1.68017,358.79054,270.14917,0,92.51366,-5.0774
CS,1448682.725,-746,4,12,5.39611,182.18239,1.66337,13.67996,90.75099,0,260.36199,-5.2242
EL,1448853.28,-746,9,29,18.71056,194.67434,1.01711,178.70158,84.23423,0,96.77546,-10.02333
MF,1448886.729,-746,11,2,5.49139,202.12486,0.98033,212.57106,279.16582,0,278.4093,-10.46459
AR,1449064.286,-745,4,28,18.86694,215.47254,1.11979,29.31164,284.63857,0,107.05988,-5.77606
CS,1449079.697,-745,5,14,4.72778,213.52506,1.08748,44.00697,76.10653,0,247.14875,-5.57239
EL,1449250.256,-745,10,31,18.145,226.42236,0.49111,210.82102,70.58147,0,82.27898,-10.40759
MF,1449283.747,-745,12,4,5.93694,234.09297,0.43469,245.00619,291.95344,0,288.82479,-10.46927
AR,1449464.3,-744,6,1,19.1975,248.17514,0.17919,62.42863,295.74976,0,118.31514,-5.14693
CS,1449476.684,-744,6,14,4.41083,246.59146,0.14626,74.21824,64.52969,0,239.13023,-5.3964
EL,1449651.243,-744,12,5,17.82694,260.41392,-0.21807,247.3046,62.02631,0,70.47128,-10.06576
MF,1449683.763,-743,1,7,6.31972,268.07209,-0.27646,280.3761,298.45512,0,291.32293,-10.05583
AR,1449865.311,-743,7,7,19.465,282.78295,-0.87863,96.57402,298.43994,0,121.78738,-5.30534
CS,1449876.688,-743,7,19,4.51056,281.29896,-0.90595,107.52128,61.36085,0,239.05784,-5.85229
EL,1450053.253,-742,1,11,18.06722,295.9962,-0.87236,284.66525,63.89017,0,69.1683,-10.07823
MF,1450089.754,-742,2,17,6.09,304.72266,-0.92206,321.15966,293.87587,0,280.9723,-10.31054
AR,1450267.302,-742,8,13,19.24028,318.85993,-1.65039,132.15159,289.93337,0,114.1573,-5.47045
CS,1450277.709,-742,8,24,5.02528,317.47376,-1.66282,142.35477,69.53384,0,249.89571,-5.14314
EL,1450455.273,-741,2,17,18.55333,332.37629,-1.20729,321.42619,76.04634,0,79.26377,-10.54086
MF,1450496.72,-741,3,31,5.27222,342.24519,-1.22364,1.92295,279.59106,0,262.71804,-10.34764
AR,1450669.273,-741,9,19,18.56194,355.33323,-1.7835,168.45657,274.10874,0,98.74123,-5.39049
CS,1450679.728,-741,9,30,5.48111,353.91616,-1.77721,178.93771,85.23106,0,266.32651,-5.21245
EL,1450858.288,-740,3,26,18.90861,8.83418,-1.07445,358.36515,93.00019,0,95.49082,-10.22765
MF,1450898.686,-740,5,6,4.47389,18.26809,-1.04308,37.11929,262.62826,0,246.60098,-10.11081
AR,1451069.245,-740,10,23,17.88194,31.02341,-1.23738,203.46986,257.29913,0,82.55534,-5.57116
CS,1451080.746,-740,11,4,5.8925,29.45981,-1.21437,215.17162,102.07419,0,282.18463,-5.83801
EL,1451259.304,-739,5,1,19.30056,43.78295,-0.55132,32.70798,108.41864,0,111.84445,-10.55235
MF,1451296.667,-739,6,8,3.99611,52.27278,-0.49205,68.28689,248.66949,0,236.29672,-10.25897
AR,1451468.227,-739,11,26,17.45056,64.89324,-0.28811,237.86968,245.06457,0,69.7805,-5.21867
CS,1451479.766,-739,12,8,6.37694,63.33815,-0.25849,249.65125,114.61779,0,292.42928,-5.92868
EL,1451658.322,-738,6,4,19.71861,76.86507,0.13622,64.86742,117.49952,0,123.1936,-10.5787
MF,1451691.667,-738,7,8,4.02,84.24655,0.19379,96.71118,241.78538,0,234.3504,-10.03453
AR,1451865.23,-738,12,28,17.52611,97.02113,0.6972,270.24295,241.25009,0,65.40117,-5.40807
CS,1451877.779,-737,1,10,6.70222,95.36039,0.72571,282.95323,118.88094,0,293.71254,-5.61678
EL,1452055.33,-737,7,6,19.915,108.25027,0.75707,95.19075,117.51119,0,125.82851,-10.13213
MF,1452087.68,-737,8,8,4.33139,115.28691,0.79911,126.44869,243.81674,0,240.08097,-10.55547
AR,1452261.246,-736,1,28,17.91528,127.83033,1.43934,301.28051,246.47154,0,69.89151,-5.77115
CS,1452275.773,-736,2,12,6.55111,125.94755,1.45863,315.76197,114.1333,0,285.82582,-5.44274
EL,1452449.325,-736,8,3,19.79444,138.21969,1.1495,122.94774,109.6084,0,120.90646,-10.40608
MF,1452482.699,-736,9,6,4.78306,145.44521,1.16645,155.7216,253.19031,0,252.11794,-10.28653
AR,1452657.262,-735,2,27,18.29889,158.03362,1.77598,331.80503,257.90855,0,80.68599,-5.85233
CS,1452673.748,-735,3,16,5.96222,155.93749,1.77637,347.92275,103.02352,0,272.26952,-5.61053
EL,1452844.304,-735,9,2,19.28639,168.23657,1.22683,152.11159,96.83602,0,109.45651,-10.19276
