Saturn,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1436891.5,1436891.635,1436891.758,-779,12,30,6.20087,258.33386,0.50013,271.72072,297.59344,0,290.924,-11.64417
AR,1437059.5,1437060.188,1437060.312,-778,6,16,19.47938,262.89545,0.35568,75.94881,298.17887,0,122.33267,-5.58412
CS,1437073.5,1437074.555,1437074.678,-778,7,1,4.27339,261.83352,0.33363,89.67017,61.87097,0,236.53252,-5.75505
EL,1437236.5,1437237.122,1437237.245,-778,12,10,17.88205,266.20127,0.06856,251.61515,61.29076,0,70.44753,-11.40285
MF,1437269.5,1437269.638,1437269.761,-777,1,12,6.26614,270.07662,0.02718,284.63579,298.8302,0,289.98161,-11.60812
AR,1437436.5,1437437.193,1437437.317,-777,6,28,19.59838,274.63887,-0.22825,87.17663,299.04593,0,123.58199,-5.93588
CS,1437450.5,1437451.556,1437451.68,-777,7,13,4.31057,273.56633,-0.25066,100.95105,60.88365,0,236.79315,-6.15865
EL,1437614.5,1437615.122,1437615.246,-777,12,23,17.89742,278.12066,-0.41446,264.60703,60.93504,0,68.80871,-11.02544
MF,1437647.5,1437647.639,1437647.762,-776,1,25,6.29588,282.03938,-0.45604,297.46664,298.73875,0,287.92126,-11.07473
AR,1437814.5,1437815.194,1437815.317,-776,7,10,19.61103,286.5978,-0.81827,99.40445,298.56866,0,122.99994,-5.7306
CS,1437827.5,1437828.561,1437828.685,-776,7,24,4.43096,285.58694,-0.83871,112.2925,61.2518,0,238.60286,-6.21896
EL,1437991.5,1437992.128,1437992.252,-775,1,3,18.04468,290.17523,-0.88831,276.54565,61.96321,0,69.22979,-11.5957
MF,1438027.5,1438027.633,1438027.757,-775,2,8,6.15918,294.5003,-0.93283,312.19253,297.1964,0,283.47879,-11.32028
AR,1438192.5,1438193.192,1438193.316,-775,7,23,19.57492,298.89187,-1.38766,111.69877,296.68281,0,121.17054,-5.79527
CS,1438204.5,1438205.569,1438205.693,-775,8,5,4.62531,297.94329,-1.40553,123.70169,63.05129,0,241.91981,-5.81826
EL,1438369.5,1438370.135,1438370.258,-774,1,16,18.19695,302.6374,-1.33316,289.43476,64.41262,0,70.78677,-11.66142
MF,1438407.5,1438407.625,1438407.748,-774,2,23,5.96211,307.25813,-1.37791,326.79068,294.23309,0,278.03746,-11.15283
AR,1438570.5,1438571.188,1438571.312,-774,8,5,19.48399,311.55802,-1.90772,124.07295,293.42147,0,118.18276,-6.08774
CS,1438582.5,1438583.577,1438583.7,-774,8,18,4.80518,310.59523,-1.92355,136.1697,66.22667,0,246.1708,-5.89576
EL,1438748.5,1438749.141,1438749.264,-773,1,30,18.3366,315.53579,-1.72418,303.24361,68.22574,0,73.64678,-11.18084
MF,1438788.5,1438788.612,1438788.735,-773,3,11,5.64686,320.45565,-1.76805,342.23135,289.9381,0,271.10045,-11.26571
AR,1438949.5,1438950.18,1438950.303,-773,8,19,19.27163,324.54216,-2.34864,137.50547,288.94732,0,113.36504,-5.96303
CS,1438960.5,1438961.586,1438961.709,-773,8,31,5.02405,323.64179,-2.36025,148.73427,70.66698,0,251.61362,-5.53137
EL,1439126.5,1439127.15,1439127.273,-772,2,12,18.55735,328.63437,-2.03553,315.95773,73.14072,0,78.16184,-11.82881
MF,1439169.5,1439169.597,1439169.72,-772,3,26,5.28158,333.98213,-2.07535,357.52943,284.55397,0,263.66547,-11.3111
AR,1439328.5,1439329.169,1439329.292,-772,9,1,19.01723,337.92243,-2.67648,151.04653,283.43855,0,107.71626,-6.01462
