Mars,Greenwich,,Babylon,,,,,,,,,,,
Modern,ut0,ut,ut,Y,M,D,H,long P,lat P,Long S,azm P,alt  P,azm S,alt S
MF,1453492.5,1453492.519,1453492.642,-733,6,13,3.41522,49.89177,0.14413,72.54839,247.7612,-0.5667,229.72742,-14.5478
AR,1453749.5,1453750.141,1453750.264,-732,2,25,18.34535,157.85498,4.06783,329.09202,254.59048,-0.5667,80.37759,-7.17147
CS,1453768.5,1453769.623,1453769.747,-732,3,16,5.91617,150.67593,3.6058,348.15531,108.14041,-0.5667,271.61138,-6.20841
EL,1454139.5,1454140.174,1454140.297,-731,3,21,19.1263,6.41873,-0.26335,353.31343,93.17807,-0.5667,95.69987,-13.43447
MF,1454250.5,1454250.52,1454250.643,-731,7,10,3.43091,80.44943,0.77894,98.86509,240.17128,-0.5667,228.2362,-14.72863
AR,1454527.5,1454528.161,1454528.284,-730,4,13,18.8172,202.73393,1.06081,15.25836,279.19217,-0.5667,101.73209,-6.5451
CS,1454542.5,1454543.581,1454543.704,-730,4,29,4.90341,197.59418,0.24421,30.02324,82.25595,-0.5667,251.74638,-6.10209
EL,1454916.5,1454917.197,1454917.32,-729,5,7,19.6898,51.40269,0.60909,38.01229,113.29209,-0.5667,117.46361,-13.31793
MF,1455008.5,1455008.536,1455008.66,-729,8,7,3.82906,110.06217,1.13789,125.47792,241.20883,-0.5667,234.7017,-14.6211
AR,1455330.5,1455331.193,1455331.317,-728,6,24,19.59737,268.36207,-5.79135,84.4474,305.73868,-0.5667,123.59022,-6.08252
CS,1455336.5,1455337.553,1455337.676,-728,7,1,4.22689,266.67047,-6.05094,90.5319,53.97165,-0.5667,236.07105,-6.29463
EL,1455681.5,1455682.217,1455682.341,-727,6,10,20.18012,85.8597,1.08907,70.88512,120.57696,-0.5667,128.61359,-13.29561
MF,1455771.5,1455771.559,1455771.682,-727,9,8,4.3784,143.08687,1.14405,157.47156,251.44351,-0.5667,248.64649,-14.72851
