Modern Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conjunction,,,,first station,,,,opposition,,,,second station,,,,conjunction,first station,opposition,second station,conjunction,,,,first station,,,,opposition,,,,second station,,,
Y,M,D,H,Y,M,D,H,Y,M,D,H,Y,M,D,H,,,,,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean,xlong,xlmean,xls,xlsmean
-756,10,3,10.5577,-755,1,29,0.3189,-755,4,9,20.87901,-755,6,18,22.92835,1445204.8568,1445322.43019,1445393.28686,1445463.37225,184.43451,180.19019,182.80489,184.43451,193.54156,184.12856,302.16345,300.32029,190.15991,186.50205,11.58782,10.15991,186.91038,188.84971,78.43934,79.23932
-755,10,15,5.63123,-754,2,9,15.48518,-754,4,21,14.35876,-754,6,30,23.32124,1445581.65153,1445699.06211,1445770.01518,1445840.38862,195.82087,192.81173,194.47243,195.82087,204.83883,196.74464,313.5136,311.54619,201.48082,199.12136,22.60254,21.48082,198.22367,201.47867,89.69167,90.84414
-754,10,26,21.8467,-753,2,21,5.2387,-753,5,3,5.63104,-753,7,12,20.54329,1445958.32718,1446075.63518,1446146.65152,1446217.27287,207.08986,205.42927,206.0754,207.08986,216.0474,209.35875,324.73915,322.71407,212.71107,211.73759,33.48847,32.71107,209.4407,214.1032,100.85828,102.31874
-753,11,7,12.5322,-752,3,3,20.57636,-752,5,13,20.07266,-752,7,23,16.24733,1446334.93907,1446452.27425,1446523.25326,1446594.09387,218.29601,218.04468,217.6531,218.29601,227.22454,221.97507,335.94443,333.947,223.90721,224.35266,44.30981,43.90721,220.61875,226.72562,112.0188,113.731
-752,11,18,3.08018,-751,3,15,15.75905,-751,5,25,11.06529,-751,8,4,10.13118,1446711.54524,1446829.07353,1446899.87795,1446970.83903,229.49652,230.6599,229.25127,229.49652,238.42742,234.59676,347.2274,345.33785,235.12598,236.9685,55.14309,55.12598,231.81576,239.34549,123.17087,125.06851
-751,11,29,18.89772,-750,3,27,14.95052,-750,6,6,4.04308,-750,8,16,2.73334,1447088.2043,1447206.03984,1447276.58536,1447347.53079,240.74916,243.27689,240.90858,240.74916,249.71457,247.22404,358.60809,356.89333,246.42627,249.58711,66.05877,66.42627,243.09071,251.96358,134.34739,136.35337
-750,12,11,13.43342,-749,4,8,18.60367,-749,6,18,0.46072,-749,8,27,21.10117,1447464.97662,1447583.19205,1447653.43609,1447724.29611,252.11344,255.89767,252.67905,252.11344,261.14587,259.85755,10.09894,8.63205,257.86783,262.21052,77.1146,77.86784,254.50282,264.58413,145.66971,147.71076
-749,12,23,12.08979,-748,4,20,4.58118,-748,6,29,1.6547,-748,9,7,19.267,1447841.92064,1447960.60778,1448030.48584,1448101.21969,263.64695,268.52421,264.60581,263.64695,272.77806,272.49989,21.78089,20.6305,269.50556,274.8406,88.39061,89.50556,266.10898,277.20998,157.22562,159.22412
-747,1,3,16.16022,-747,5,2,22.9339,-747,7,11,8.89368,-747,9,19,21.11039,1448219.09024,1448338.37248,1448407.78747,1448478.2965,275.4028,281.1583,276.71073,275.4028,284.66375,285.15391,33.74824,32.97291,281.39154,287.47911,99.96185,101.39154,277.96327,289.84096,169.01969,170.88851
-746,1,16,2.89714,-746,5,16,2.19191,-746,7,23,23.36842,-746,10,2,3.26837,1448596.53761,1448716.50823,1448785.39058,1448855.55308,287.43244,293.8017,289.03862,287.43244,296.85072,297.82037,46.03481,45.68104,293.57468,300.12773,111.87614,113.57469,290.11453,302.47797,181.0708,182.7301
-745,1,28,21.36898,-745,5,29,13.78179,-745,8,5,22.00864,-745,10,14,15.84037,1448974.30727,1449094.99114,1449163.33392,1449233.07691,299.77974,306.45589,301.6242,299.77974,309.37744,310.49845,58.63597,58.73136,306.09317,312.78774,124.18888,126.09318,302.6022,315.12393,193.46485,194.8351
-744,2,11,0.32011,-744,6,11,9.29122,-744,8,18,5.38172,-744,10,26,12.53724,1449352.43024,1449473.80403,1449541.64114,1449610.93928,312.47527,319.12192,314.46703,312.47527,322.26867,323.18759,71.55441,72.10691,318.97031,325.45994,136.95221,138.97031,315.4523,327.78122,206.27063,207.27378
-743,2,23,12.15198,-743,6,25,12.72544,-743,8,31,21.67781,-743,11,8,17.81468,1449730.92323,1449852.94712,1449920.32014,1449989.15918,325.53552,331.80034,327.57288,325.53552,335.53164,335.88779,84.81779,85.80793,332.2139,338.14459,150.18181,152.2139,328.6748,340.4505,219.48242,220.06485
-742,3,9,8.79955,-742,7,9,23.38243,-742,9,14,22.52843,-742,11,22,7.01765,1450109.78355,1450232.39117,1450299.35558,1450367.7093,338.95783,344.49107,340.93404,338.95783,349.15141,348.59807,98.42485,99.80558,345.80882,350.84118,163.87456,165.80882,342.25593,353.13083,233.06327,233.18141
-741,3,23,13.57773,-741,7,24,15.84393,-741,9,29,6.96895,-741,12,6,3.48377,1450488.98264,1450612.07706,1450678.70727,1450746.56206,352.71404,357.19314,354.51373,352.71404,3.0873,1.31645,112.33544,114.04161,359.71544,3.54837,177.99525,179.71544,356.15721,5.82131,246.96634,246.59626
-740,4,6,1.28416,-740,8,7,12.03221,-740,10,12,21.59095,-740,12,19,7.05302,1450868.4704,1450991.91824,1451058.31652,1451125.71077,6.75479,9.90488,8.26956,6.75479,17.27856,14.04003,126.4976,128.4307,13.87593,16.26418,192.47677,193.87593,10.32193,18.52169,261.14339,260.30283
-739,4,20,18.31153,-739,8,22,9.0123,-739,10,27,16.49911,-738,1,2,17.01698,1451248.17988,1451371.79241,1451438.10436,1451505.12594,21.01406,22.62406,22.15455,21.01406,31.6464,26.76472,140.8184,142.85231,28.21244,28.98598,207.23003,208.21244,24.67249,31.23101,275.53904,274.27202
-738,5,5,14.47813,-738,9,6,4.00749,-738,11,11,13.26945,-737,1,17,7.83058,1451628.02015,1451751.58388,1451817.96979,1451884.74317,35.40226,35.34761,36.0996,35.40225,46.08929,39.48664,155.17855,157.19239,42.62543,41.71037,222.12563,222.62543,39.10785,43.94709,290.06344,288.44037
-737,5,20,11.18532,-737,9,20,18.36964,-737,11,26,9.21918,-736,2,1,1.25484,1452007.88295,1452131.1823,1452197.80103,1452264.46918,49.81265,48.07192,50.025,49.81265,60.49469,52.20209,169.47211,171.34221,57.00472,54.43362,237.01992,237.00472,53.51611,56.66681,304.5875,302.71594
-736,6,3,5.72326,-736,10,4,2.09402,-736,12,10,1.72295,-735,2,14,18.30013,1452387.65537,1452510.50415,1452577.48869,1452644.1794,64.13396,60.7932,63.8467,64.13396,74.7531,64.90828,183.60934,185.21942,71.24249,67.15206,251.77043,251.24249,67.78779,69.38601,318.97666,316.97595
-735,6,17,19.66189,-735,10,18,2.36127,-735,12,24,12.5807,-734,3,1,8.30433,1452767.23614,1452889.51528,1452956.94109,1453023.76291,78.26638,73.50806,77.50358,78.26638,88.77227,77.60405,197.52234,198.79038,85.24838,79.86262,266.24465,265.24838,81.82919,82.10096,333.12302,331.11107
-734,7,2,3.04221,-734,10,31,18.4285,-733,1,7,16.10468,-733,3,15,17.29819,1453146.54366,1453268.18475,1453336.08793,1453403.13766,92.12947,86.21376,90.94617,92.12946,102.48201,90.28839,211.15888,212.02457,98.95309,92.56295,280.34763,278.95309,95.56887,94.80892,346.94385,345.04041
-733,7,16,2.46279,-733,11,14,1.5671,-732,1,21,11.23162,-732,3,28,19.95775,1453525.51951,1453646.48219,1453714.88488,1453782.24847,105.66565,98.90836,104.12849,105.66565,115.83854,102.96026,224.46892,224.89208,112.31294,105.25156,294.01701,292.31294,108.96136,107.50804,0.39929,358.70962
-732,7,28,17.1947,-732,11,25,23.3986,-731,2,2,21.53451,-731,4,11,15.80566,1453904.13334,1454024.39184,1454093.31417,1454161.07547,118.84501,111.59083,117.04396,118.84501,128.8246,115.61915,237.40287,237.37736,125.3104,117.92784,307.21624,305.3104,121.98742,120.19765,13.49008,12.09908
-731,8,10,23.08241,-731,12,8,12.3122,-730,2,15,23.06811,-730,4,25,4.45339,1454282.37867,1454401.92991,1454471.37807,1454539.60246,131.66114,124.26096,129.69914,131.66114,141.44472,128.26558,249.95858,249.49639,137.94772,130.59189,319.95619,317.94772,134.64922,132.87721,26.22068,25.19284
-730,8,23,20.38348,-730,12,20,18.38732,-729,2,28,16.32037,-729,5,8,9.08243,1454660.26621,1454779.18304,1454849.09691,1454917.79533,144.12464,136.9191,142.0885,144.12464,153.7205,140.90247,262.20526,261.33458,150.24494,143.24439,332.26762,330.24494,146.96722,145.54559,38.58269,37.95729
-729,9,5,9.80095,-728,1,1,19.63182,-728,3,12,2.15675,-728,5,20,5.39281,1455037.82527,1455156.23489,1455226.50676,1455295.6416,156.26436,149.56624,154.24425,156.26436,165.68776,153.53262,274.20308,272.97438,162.2376,155.88653,344.1787,342.2376,158.97543,158.20235,50.58189,50.3801
-728,9,16,16.30083,-727,1,12,16.10652,-727,3,24,5.60193,-727,6,1,18.14546,1455415.0961,1455533.088,1455603.65031,1455673.17296,168.12,162.20373,166.21003,168.12,177.39004,166.15612,285.94742,284.41829,173.96777,168.51975,355.74594,353.96777,170.71522,170.84856,62.27677,62.49252
